"taxon","effect","wi_p","wi_fdr","we_p","we_fdr"
"species:Bifidobacterium longum",0.541158621323218,4.53439369385578e-14,7.74460356955942e-13,0,0
"species:Escherichia coli",0.549445558353083,7.85118497992343e-14,1.52529031072213e-12,0,0
"species:Veillonella parvula",-0.38262715947696,6.11246862189609e-12,5.76705249089762e-11,3.63327476681483e-13,4.50743563044351e-12
"species:Rothia mucilaginosa",-0.377900437543138,2.1059437083932e-11,2.24339246198161e-10,1.49039585420386e-10,1.28705931966793e-09
"species:Haemophilus parainfluenzae",-0.377404350597591,1.58855365499093e-10,1.21562480236197e-09,2.75288652497841e-11,2.47573288289777e-10
"species:Veillonella infantium",-0.34673535691298,7.84134681851486e-10,6.37567621031229e-09,1.31887451988454e-10,1.14174549900637e-09
"species:Phocaeicola vulgatus",0.346606849125083,7.04736855677845e-10,7.05279986877583e-09,0,0
"species:Veillonella dispar",-0.313159723542318,5.25740223605872e-09,3.44029481081978e-08,1.09607236349086e-09,7.31432240462034e-09
"species:Enterococcus faecalis",-0.235870743818182,3.31590517474872e-07,1.90645135798008e-06,6.77333998403328e-06,3.15203620822625e-05
"species:Bacteroides uniformis",0.258874940069636,2.00864890298642e-06,1.30078701058279e-05,1.71620703759423e-12,1.2671025340083e-11
"species:Veillonella sp. T11011-6",-0.259835777138691,4.59048830707428e-06,1.77756918491525e-05,2.93290535820312e-06,1.3268938076061e-05
"species:Parabacteroides distasonis",0.226973721396928,5.63749602134657e-06,3.54921314067608e-05,4.49223470921911e-12,3.35683165292311e-11
"species:Clostridium perfringens",-0.176498850355119,2.2689318746532e-05,8.61980575797492e-05,1.12801665297861e-06,5.68746952978226e-06
"genus:Enterobacter",-0.15963490986226,0.000230579842962614,0.000683654033429829,8.2293009365996e-06,3.63470978098604e-05
"species:Streptococcus mitis",-0.181009786092986,0.000197796896281355,0.000747213675634638,0.000977443719350932,0.00311039446644745
"species:Staphylococcus epidermidis",-0.14959367510015,0.00039207347663898,0.00137626596436359,0.00177092604910928,0.00547236155294676
"species:Staphylococcus hominis",0.17398978647615,0.000521398535351878,0.0025634109709244,0.000112319404864903,0.000391252443271882
"species:Bifidobacterium adolescentis",0.152683063759668,0.00140368049724936,0.00515546768848651,8.66681729161378e-09,4.35448947625044e-08
"species:Bifidobacterium breve",0.138851422149983,0.00194012241356736,0.00769304685010511,3.96969655764075e-05,0.000141448517075543
"species:Haemophilus haemolyticus",-0.159611534905215,0.00373108687518486,0.00913988878837396,0.000481093451198109,0.00153612925854011
"species:Streptococcus parasanguinis",-0.123627363316389,0.00913228844857386,0.023299362786271,0.0699672790328449,0.142076146181759
"species:Phocaeicola dorei",0.127226168283976,0.00806516522346676,0.0287961806114745,3.42302738791031e-07,1.39797171857811e-06
"species:Klebsiella oxytoca",-0.118296225607705,0.0152251189870949,0.0324093530191971,0.00364001945419242,0.00994879644878608
"species:Klebsiella michiganensis",-0.106690149470669,0.0188886328214669,0.0398759858134149,0.00607160560396733,0.0155716733593499
"species:Collinsella aerofaciens",0.128281594402029,0.014132022196621,0.0494791457446278,5.26838397833795e-06,1.93674477048648e-05
"species:Veillonella atypica",-0.118519638296857,0.029120175687703,0.0516628556355093,0.017398566265511,0.0393143577324328
"species:Streptococcus infantis",-0.109979404998386,0.0374198030192739,0.0757154721470321,0.0298892462024218,0.0636744247993872
"species:Bifidobacterium bifidum",0.0973517416100322,0.0263135555492874,0.0845606310418534,1.07169983189909e-07,4.98548560549378e-07
"species:Gemella sanguinis",-0.0969100206800063,0.0513910435779765,0.102121268798065,0.0849417761341097,0.163399048780369
"species:Streptococcus vestibularis",-0.080707550033951,0.0551273058370341,0.107901356671463,0.0578340741264165,0.118760692300982
"species:Klebsiella pneumoniae",-0.0803619345532254,0.0656660195328903,0.125181133597314,0.0783813895727275,0.155536444892575
"species:Staphylococcus haemolyticus",-0.0750174453403216,0.0696957311533196,0.132527803831648,0.0218242273912199,0.0502187277316453
"species:Aeriscardovia aeriphila",0.115146591285163,0.0426505308158552,0.133246055861512,0.0287748203088814,0.0823798821280236
"species:Bacteroides fragilis",0.0827741726748321,0.0762622932238063,0.229356853357813,5.97639098627416e-06,2.29092330459964e-05
"species:Klebsiella variicola",-0.0599741879783177,0.174991164821546,0.302916547996284,0.175505715284206,0.322704399586354
"species:Klebsiella quasipneumoniae",-0.0613816714883863,0.214201615859212,0.347053477443516,0.20975783476526,0.366252956919466
"species:Streptococcus thermophilus",-0.0589901118320423,0.257208597952744,0.405106946262274,0.320613509482761,0.498298416050028
"species:Streptococcus salivarius",-0.0369428974603439,0.505350434987588,0.819836620372347,0.499262859122969,0.978933057271045
"species:Gemella haemolysans",-0.0264608491647766,0.600738835259831,0.834113632999856,0.623121717658455,0.852368268423176
"species:Staphylococcus lugdunensis",-0.01016062753429,0.69034657558696,0.860621782317605,0.539941669595318,0.786316134015468
"genus:Streptococcus",0.0172686452699682,0.649510942497959,0.927035034375124,0.425562156046776,0.779402353121595
"species:Staphylococcus aureus",0.0270789493514314,0.61036069626753,0.930770394186285,0.434360096332089,0.84250721004706
