"taxon","lfc","p","fdr","diff"
"species:Bifidobacterium bifidum",2.06996409891917,1.15728223449493e-40,4.86058538487871e-39,TRUE
"species:Phocaeicola vulgatus",0.60505099017274,1.9060630911903e-33,4.00273249149963e-32,TRUE
"species:Bifidobacterium longum",1.64390295192964,5.21801625729249e-32,7.30522276020949e-31,TRUE
"species:Phocaeicola dorei",0.910799798671237,5.34224971885778e-21,5.60936220480067e-20,TRUE
"species:Bifidobacterium adolescentis",0.808997544632935,1.0565504933784e-17,7.39585345364878e-17,TRUE
"species:Collinsella aerofaciens",0.930723469959354,8.97173197047311e-18,7.39585345364878e-17,TRUE
"species:Bacteroides fragilis",0.916223576772133,5.01058493103325e-17,3.00635095861995e-16,TRUE
"species:Bacteroides uniformis",0.615228496878025,1.13837710164857e-08,5.97647978365501e-08,TRUE
"species:Escherichia coli",0.732888060258823,2.86540099896594e-08,1.33718713285077e-07,TRUE
"genus:Streptococcus",-0.415033564021867,3.85437870008185e-08,1.61883905403438e-07,TRUE
"species:Enterococcus faecalis",-0.741631912547675,4.77480028829981e-07,1.82310556462356e-06,TRUE
"species:Gemella sanguinis",0.383308312968623,1.84178625292732e-05,6.44625188524563e-05,TRUE
"species:Clostridium perfringens",-0.753643718679545,3.15250932312692e-05,0.000101850301208716,TRUE
"species:Parabacteroides distasonis",0.513233994853275,6.81451205378669e-05,0.000190806337506027,TRUE
"species:Klebsiella oxytoca",-0.478343196707432,6.61943195368243e-05,0.000190806337506027,TRUE
"species:Klebsiella michiganensis",-0.602707926320183,8.55585391980854e-05,0.000224591165394974,TRUE
"species:Streptococcus thermophilus",0.45747038214264,0.00127847461069544,0.00315858433230639,TRUE
"species:Staphylococcus lugdunensis",-0.381994793341823,0.00281468990259104,0.00656760977271242,TRUE
"species:Haemophilus haemolyticus",-0.794774525757386,0.00413724234218144,0.00879543788406344,TRUE
"species:Staphylococcus haemolyticus",-0.399955659423559,0.00418830375431592,0.00879543788406344,TRUE
"genus:Enterobacter",-0.484622758579568,0.00764466768030802,0.015289335360616,TRUE
"species:Streptococcus parasanguinis",-0.300370362396646,0.00940811869257826,0.0171800428299255,TRUE
"species:Aeriscardovia aeriphila",0.528181989112582,0.00919521179381864,0.0171800428299255,TRUE
"species:Veillonella dispar",-0.645317446707203,0.0230507657960208,0.0403388401430364,TRUE
"species:Staphylococcus hominis",0.352212442678689,0.029273478292008,0.0491794435305734,TRUE
"species:Streptococcus salivarius",-0.212557851715383,0.0490898743421642,0.079299027783496,FALSE
"species:Bifidobacterium breve",0.599508029431926,0.101992876512539,0.158655585686171,FALSE
"species:Klebsiella pneumoniae",0.4343829707139,0.10830787309416,0.162461809641239,FALSE
"species:Streptococcus mitis",0.124794273314564,0.151936830949367,0.220046444823222,FALSE
"species:Rothia mucilaginosa",-0.263172108689114,0.187385886434396,0.262340241008154,FALSE
"species:Veillonella infantium",-0.52278146080479,0.202771805171671,0.274723090877747,FALSE
"species:Veillonella parvula",-0.550687919301894,0.218627412240092,0.286948478565121,FALSE
"species:Streptococcus infantis",-0.0276575405941948,0.246428825332765,0.313636686787156,FALSE
"species:Klebsiella quasipneumoniae",-0.192451091035256,0.261653957532306,0.323219594598731,FALSE
"species:Veillonella atypica",-0.375504147826409,0.31537467375922,0.378449608511063,FALSE
"species:Haemophilus parainfluenzae",-0.438057817991359,0.428111737957486,0.485964675519309,FALSE
"species:Klebsiella variicola",-0.00993802531305709,0.421371368991007,0.485964675519309,FALSE
"species:Staphylococcus aureus",0.159522324164007,0.556229221444694,0.614779665807294,FALSE
"species:Veillonella sp. T11011-6",-0.479241372182971,0.746898658935542,0.804352401930583,FALSE
"species:Gemella haemolysans",0.0343176360493752,0.811341722229948,0.851908808341445,FALSE
"species:Streptococcus vestibularis",0.168764069543234,0.907468128336405,0.929601497320219,FALSE
"species:Staphylococcus epidermidis",0.00620682762676862,0.992112392032184,0.992112392032184,FALSE
