"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"species.Enterococcus.faecalis","gender","male",-0.0316307719274786,0.0158351742509782,0.0462903329865513,"gendermale",0.10801077696862,524,309
"species.Klebsiella.pneumoniae","gender","male",-0.0133949468824991,0.00746139878844372,0.0731960711139121,"gendermale",0.1618018414097,524,97
"species.Klebsiella.quasipneumoniae","gender","male",-0.00183524126324176,0.00104419822515798,0.0794096205516281,"gendermale",0.169255263240592,524,57
"species.Veillonella.atypica","gender","male",0.00303361112308944,0.00176276822991498,0.0858561474151109,"gendermale",0.175900399582178,524,65
"species.Veillonella.sp..T11011.6","gender","male",-0.00103591866888021,0.000627725790717476,0.0994898715047974,"gendermale",0.194352307125651,524,93
"species.Streptococcus.mitis","gender","male",0.000677377271318901,0.000500019370829511,0.176099651618362,"gendermale",0.308174390332133,524,340
"species.Veillonella.dispar","gender","male",-0.00164610417614237,0.00120829243502958,0.173679499447653,"gendermale",0.308174390332133,524,135
"species.Staphylococcus.hominis","gender","male",0.00230203536418519,0.00180977096447736,0.203939263672286,"gendermale",0.349610166295347,524,208
"species.Klebsiella.variicola","gender","male",-0.00419687033988546,0.00333704318350909,0.209077657165138,"gendermale",0.351250464037431,524,66
"species.Bifidobacterium.adolescentis","gender","male",0.00534345901281931,0.00442147671801722,0.227394135185717,"gendermale",0.372537879150525,524,60
"species.Streptococcus.parasanguinis","gender","male",0.0066503522301302,0.00554117434422633,0.230618687093182,"gendermale",0.372537879150525,524,345
"species.Staphylococcus.haemolyticus","gender","male",0.00607172610635448,0.00537227953244547,0.258913892002626,"gendermale",0.410354092985294,524,109
"species.Haemophilus.parainfluenzae","gender","male",0.00174064979110384,0.00176418237257798,0.324266879139478,"gendermale",0.504415145328078,524,184
"species.Staphylococcus.aureus","gender","male",0.00100862155983244,0.00105013735474298,0.337266096858522,"gendermale",0.515097311565743,524,111
"species.Bifidobacterium.longum","gender","male",0.0112606583071636,0.0127976671265856,0.379319536282633,"gendermale",0.553020324348179,524,190
"species.Bacteroides.fragilis","gender","male",-0.00466693957905303,0.00532476760322735,0.381184576173493,"gendermale",0.553020324348179,524,60
"species.Staphylococcus.lugdunensis","gender","male",-0.00236131196763716,0.00269790636313133,0.381847366811838,"gendermale",0.553020324348179,524,109
"species.Veillonella.infantium","gender","male",-0.000369213345991814,0.000431436157193784,0.392514268105133,"gendermale",0.558833873234427,524,121
"genus.Streptococcus","gender","male",0.00234702939679614,0.00288371302765264,0.41607895205296,"gendermale",0.582510532874144,524,64
"species.Streptococcus.thermophilus","gender","male",-0.000369350669725324,0.000488019615958287,0.449490410684638,"gendermale",0.608987008024348,524,79
"species.Bifidobacterium.breve","gender","male",0.0110531244568927,0.0144431585429375,0.444448711669398,"gendermale",0.608987008024348,524,150
"species.Bacteroides.uniformis","gender","male",0.00149896520336562,0.00207394629194265,0.470151723733014,"gendermale",0.626868964977352,524,91
"species.Streptococcus.infantis","gender","male",0.00147972494196523,0.0021742324501933,0.496443743672471,"gendermale",0.651582413570119,524,126
"species.Parabacteroides.distasonis","gender","male",0.0030920817484785,0.00465501444896331,0.506825771609781,"gendermale",0.654974843311102,524,86
"species.Veillonella.parvula","gender","male",0.00246339926035705,0.00395441648953396,0.533590704348873,"gendermale",0.676862890138792,524,138
"species.Klebsiella.oxytoca","gender","male",0.00290405515697739,0.00473434804816094,0.539878733801179,"gendermale",0.676862890138792,524,64
"species.Phocaeicola.dorei","gender","male",0.00216483829460403,0.00417691993962645,0.604478908476588,"gendermale",0.735887366841063,524,64
"species.Bifidobacterium.bifidum","gender","male",-0.00447970297134879,0.00863822836395375,0.604266530326733,"gendermale",0.735887366841063,524,85
"species.Streptococcus.vestibularis","gender","male",0.00272223317191258,0.00554632398182509,0.623762155122022,"gendermale",0.748514586146426,524,148
"species.Gemella.sanguinis","gender","male",-0.000155721424561349,0.000401691868933516,0.698423121725696,"gendermale",0.826303411619133,524,56
"species.Aeriscardovia.aeriphila","gender","male",-0.000138123039465369,0.000401828971055281,0.731183591551225,"gendermale",0.853047523476429,524,94
"species.Phocaeicola.vulgatus","gender","male",0.00112060902187119,0.00383828644406959,0.77043682686564,"gendermale",0.886530047352243,524,104
"species.Collinsella.aerofaciens","gender","male",0.000431769877505429,0.00212032641372877,0.838719279777345,"gendermale",0.895867253859707,524,62
"species.Streptococcus.salivarius","gender","male",-0.00231316130466723,0.0100176391827916,0.817476281282357,"gendermale",0.895867253859707,524,373
"species.Staphylococcus.epidermidis","gender","male",-0.00203542284419631,0.0096316892952987,0.832715816651623,"gendermale",0.895867253859707,524,436
"species.Rothia.mucilaginosa","gender","male",8.51280771450994e-05,0.000422822739800575,0.84051695204369,"gendermale",0.895867253859707,524,289
"species.Klebsiella.michiganensis","gender","male",0.00117911022722467,0.00483814412946777,0.807550381285014,"gendermale",0.895867253859707,524,55
"species.Haemophilus.haemolyticus","gender","male",-8.96268050774662e-05,0.000450969828884843,0.842541822082344,"gendermale",0.895867253859707,524,60
"species.Gemella.haemolysans","gender","male",-6.8887351103085e-05,0.000415996064598782,0.868539005291367,"gendermale",0.911965955555936,524,226
"genus.Enterobacter","gender","male",0.000820321554087339,0.00755168659150526,0.913539694922264,"gendermale",0.935821150895978,524,93
"species.Escherichia.coli","gender","male",-0.000837414490005382,0.0148875602774425,0.955164791044141,"gendermale",0.966672800574793,524,219
"species.Clostridium.perfringens","gender","male",0.000173847895779771,0.00435905759592428,0.96820248653645,"gendermale",0.96820248653645,524,104
