"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"species.Bifidobacterium.longum","born_method","c_section",-0.109083293743621,0.0120476999468215,2.11384787139626e-18,"born_methodc_section",8.87816105986429e-17,578,221
"species.Enterococcus.faecalis","born_method","c_section",0.102941794346087,0.0151276250095378,2.54247040898602e-11,"born_methodc_section",5.33918785887065e-10,578,348
"species.Phocaeicola.vulgatus","born_method","c_section",-0.0250028155671454,0.00408656033505533,1.74792952172079e-09,"born_methodc_section",2.44710133040911e-08,578,117
"species.Bifidobacterium.bifidum","born_method","c_section",-0.0496421258045312,0.00836061091613505,5.00123695493134e-09,"born_methodc_section",5.25129880267791e-08,578,97
"species.Streptococcus.parasanguinis","born_method","c_section",0.0276560783706645,0.00512928439668677,1.01920974145245e-07,"born_methodc_section",8.56136182820062e-07,578,387
"species.Escherichia.coli","born_method","c_section",-0.0726298742857152,0.0138435634493048,2.18199304256632e-07,"born_methodc_section",1.52739512979642e-06,578,248
"species.Streptococcus.salivarius","born_method","c_section",0.0450112832530231,0.00940612528051784,2.17222847609726e-06,"born_methodc_section",1.30333708565836e-05,578,421
"species.Veillonella.parvula","born_method","c_section",0.0179790493523617,0.00408023499486206,1.25381019407889e-05,"born_methodc_section",6.5825035189142e-05,578,162
"species.Staphylococcus.epidermidis","born_method","c_section",0.0382038881042605,0.00895843573188011,2.34064152454306e-05,"born_methodc_section",0.000105573726642947,578,485
"species.Veillonella.infantium","born_method","c_section",0.00186059464740814,0.000437981212246024,2.51366015816542e-05,"born_methodc_section",0.000105573726642947,578,134
"species.Bacteroides.fragilis","born_method","c_section",-0.0216900629420057,0.00521087493256296,3.62967426966145e-05,"born_methodc_section",0.000138587563023437,578,66
"species.Bifidobacterium.adolescentis","born_method","c_section",-0.0175124056757656,0.00424585834666395,4.26129557323966e-05,"born_methodc_section",0.000142399678318393,578,71
"species.Veillonella.dispar","born_method","c_section",0.00495082432724482,0.00120265537925632,4.40760909080739e-05,"born_methodc_section",0.000142399678318393,578,151
"species.Clostridium.perfringens","born_method","c_section",0.0181638821066912,0.00452480758755876,6.75075698749884e-05,"born_methodc_section",0.000202522709624965,578,117
"species.Rothia.mucilaginosa","born_method","c_section",0.00153815002249779,0.00039652933756024,0.000116974111503099,"born_methodc_section",0.000327527512208677,578,321
"species.Bacteroides.uniformis","born_method","c_section",-0.00719913880510004,0.00205352651729074,0.00049076665128888,"born_methodc_section",0.00111065738877631,578,100
"species.Phocaeicola.dorei","born_method","c_section",-0.0144776015677953,0.00412450369816445,0.000482885588514985,"born_methodc_section",0.00111065738877631,578,72
"species.Streptococcus.mitis","born_method","c_section",0.00164223599087052,0.000465215534798265,0.000448677913070306,"born_methodc_section",0.00111065738877631,578,373
"species.Haemophilus.haemolyticus","born_method","c_section",0.00147153331627915,0.000420516511175558,0.000502440247303571,"born_methodc_section",0.00111065738877631,578,62
"species.Collinsella.aerofaciens","born_method","c_section",-0.00618449443346711,0.00195876205086443,0.00167539315386961,"born_methodc_section",0.00351832562312618,578,72
"species.Haemophilus.parainfluenzae","born_method","c_section",0.00497619117412804,0.00163533643550095,0.00244976022888356,"born_methodc_section",0.00489952045776711,578,199
"genus.Enterobacter","born_method","c_section",0.0208883856883021,0.00712862430926877,0.00352154489320164,"born_methodc_section",0.00671049506965561,578,103
"species.Gemella.haemolysans","born_method","c_section",0.00113755007816157,0.000390067047540788,0.00368010942924307,"born_methodc_section",0.00671049506965561,578,254
"species.Bifidobacterium.breve","born_method","c_section",-0.0397596174166224,0.0136948598992895,0.00383456861123178,"born_methodc_section",0.00671049506965561,578,165
"species.Aeriscardovia.aeriphila","born_method","c_section",0.00102032707277441,0.00037687784856134,0.00698430933926219,"born_methodc_section",0.0109098698438278,578,104
"species.Veillonella.atypica","born_method","c_section",0.00435952901108299,0.00160781347924318,0.0068986011263189,"born_methodc_section",0.0109098698438278,578,70
"species.Gemella.sanguinis","born_method","c_section",0.00101968446553625,0.00037683565527907,0.00701348775674642,"born_methodc_section",0.0109098698438278,578,60
"species.Streptococcus.thermophilus","born_method","c_section",0.0011748815797656,0.000453345090849835,0.00979578684064737,"born_methodc_section",0.0146936802609711,578,93
"species.Veillonella.sp..T11011.6","born_method","c_section",0.001488219933271,0.000580641392681963,0.0106282119046322,"born_methodc_section",0.0148794966664851,578,103
"species.Klebsiella.quasipneumoniae","born_method","c_section",0.00253523314129213,0.000984779164159532,0.01028950352037,"born_methodc_section",0.0148794966664851,578,66
"species.Klebsiella.oxytoca","born_method","c_section",0.0113009141321961,0.00472708813877042,0.017137765470455,"born_methodc_section",0.0232189080567455,578,72
"species.Parabacteroides.distasonis","born_method","c_section",-0.0100536928480029,0.00426745833248234,0.0188121682568061,"born_methodc_section",0.024690970837058,578,97
"species.Klebsiella.michiganensis","born_method","c_section",0.0102556676415968,0.00441570953407932,0.0205513695049751,"born_methodc_section",0.0261562884608774,578,62
