"species","mean_CS_ABx","mean_CS_noABx","mean_VAG_ABx","mean_VAG_noABx","cs_effect","abx_effect","interaction","cs_p","abx_p","cs_q","abx_q","dominant"
"species:Bacteroides uniformis",0.292400519271421,-0.0167710619933342,2.49419256771597,4.12345133575653,-3.17100722309721,-0.660043593387906,1.93843034930532,2.32792554609515e-27,0.0165221742082899,2.09513299148563e-26,0.0405544276021662,"CS-dominant"
"species:Bifidobacterium adolescentis",-0.182813979977657,-0.0655088199379922,0.394147776896113,3.14350342824272,-1.89298700252724,-1.43333040569314,2.63205049130695,1.27398312260263e-16,5.50554407867784e-07,4.29969303878387e-16,4.95498967081005e-06,"Both contribute"
"species:Bifidobacterium longum",1.54583363278351,2.35082440816406,3.41736985996079,10.0633285113436,-4.79202016517839,-3.72547471338166,5.84096787600222,2.33043558926306e-33,2.15325811599084e-14,3.14608804550514e-32,5.81379691317526e-13,"Both contribute"
"species:Clostridium perfringens",1.54347489624714,4.2410128510805,2.42963471754057,1.51401389692674,0.920419566430168,-0.890958567109762,-3.61315877544719,1.87309350640647e-07,0.624573425935828,3.37156831153164e-07,0.674539300010694,"Both contribute"
"genus:Enterobacter",3.9386848656381,3.07572237314713,2.01073732922734,0.940904417679539,2.03138274593918,0.966397702019383,-0.206870419056838,2.87725887936516e-07,0.0376257652575669,4.85537435892872e-07,0.0725639758538791,"CS-dominant"
"species:Enterococcus faecalis",9.43498666782764,9.98988394941009,8.49873048114201,7.05096963211501,1.93758525199036,0.446431783722275,-2.00265813060945,5.73651883294714e-06,0.252098248291848,8.15189518366173e-06,0.358244879151573,"CS-dominant"
"species:Escherichia coli",5.01828257607466,3.50271040535885,7.64930508626817,10.4178530668754,-4.77308258585501,-0.626487904945695,4.28412015132301,4.85819272046428e-27,0.0446699600222317,3.27928008631339e-26,0.0804059280400171,"CS-dominant"
"species:Haemophilus haemolyticus",0.559410360305061,1.64040684781235,0.597125301676806,0.340668658792116,0.631011623824242,-0.412269922311298,-1.33745313039198,4.26566893765709e-06,0.559885540598769,6.39850340648563e-06,0.629871233173615,"Both contribute"
"species:Klebsiella michiganensis",1.4113711820705,2.0455228390971,1.28321406087686,0.529389998862774,0.822144980713979,0.0598362024937424,-1.38797571904069,8.28231803928412e-05,0.449386083618446,0.000111811293530336,0.57778210750943,"CS-dominant"
"species:Klebsiella oxytoca",2.43580753667764,2.4078527204749,2.10479238494454,0.697722331224186,1.02057277049191,0.717512434961549,-1.37911523751762,0.000115682682192288,0.0297952854396903,0.00014873487710437,0.0618825159132029,"Both contribute"
"species:Parabacteroides distasonis",-0.182813979977657,0.106046524017892,2.74931264450152,4.10907463260271,-3.467577366532,-0.824311246048369,1.07090148410564,1.30070301915051e-24,0.0225783613581502,7.02379630341274e-24,0.050801313055838,"CS-dominant"
"species:Phocaeicola dorei",0.276773705634673,-0.106682942299466,0.788926591136429,3.57352557392897,-2.0961807008651,-1.2005711674292,3.16805563072668,1.96157659857331e-19,1.20502591697327e-05,7.56608116592563e-19,5.42261662637973e-05,"Both contribute"
"species:Phocaeicola vulgatus",0.0987461645943209,-0.121295230706241,2.4093449123815,5.68918170632401,-4.06053784240872,-1.52989769932097,3.49987818924307,3.22427951320455e-38,3.52804074817977e-06,8.70555468565228e-37,1.90514200401708e-05,"CS-dominant"
"species:Streptococcus parasanguinis",6.92209351764911,9.03714159687446,7.94531660667473,8.02425921922351,-0.00517035568733437,-1.09699534588706,-2.03610546667656,0.0830744896782945,0.201782980369121,0.09752222701365,0.302674470553681,"Antibiotic-dominant"
"species:Veillonella dispar",2.31414861343799,5.0237116642043,2.40086965734138,1.55021302966287,1.69338879531903,-0.929453211543898,-3.56021967844482,1.08965501739923e-13,0.537145137293912,2.67460776997992e-13,0.629871233173615,"Both contribute"
"species:Bifidobacterium breve",2.21774537330955,2.83828185830107,3.52909339646138,5.91911605733568,-2.19609111109321,-1.50527957293291,1.76948617588278,4.57775909484694e-07,0.00414797736873754,7.27055856240397e-07,0.0124439321062126,"Both contribute"
"species:Collinsella aerofaciens",0.0542633952503197,0.0651958979931467,0.349728472181717,3.38419280867737,-1.80723099380781,-1.52269841961924,3.02353183375283,3.16499812128669e-16,1.15096484167646e-07,9.49499436386007e-16,1.55380253626322e-06,"Both contribute"
"species:Gemella sanguinis",0.0736158679984462,0.961052729608229,0.473105270890971,0.555835807060347,0.00286375982767884,-0.485083698889579,-0.804706325440407,0.108910082872176,0.182273863490955,0.122523843231198,0.289493783191516,"Antibiotic-dominant"
"species:Haemophilus parainfluenzae",5.40962160861087,5.14815631532241,3.2683351938742,2.09512234617673,2.59716019194117,0.717339070492968,-0.911747554409019,7.75128772134081e-12,0.0855382577331033,1.60988283443232e-11,0.144345809924612,"CS-dominant"
"species:Rothia mucilaginosa",5.36683419425397,6.35677656318568,4.12029816443519,3.90164015248955,1.85083622025746,-0.38564217849304,-1.20860038087735,1.31314604075561e-09,0.714548300072702,2.53249593574296e-09,0.742030926998575,"CS-dominant"
