"species","window","clr_cs","clr_vag","gap","se","p","n_cs","n_vag","q"
"species:Bacteroides uniformis","d0_7",0.061931007892381,3.56002824132186,-3.49809723342948,0.302472500247945,6.37928618623658e-12,395,432,4.69747437350148e-11
"species:Bifidobacterium adolescentis","d0_7",-0.0715864864845833,2.50324348105441,-2.57482996753899,0.281204238053091,0.000411987179850295,395,432,0.000926971154663163
"species:Bifidobacterium longum","d0_7",2.35716374006681,8.31978273384661,-5.9626189937798,0.46813410175142,1.11503659847112e-23,395,432,2.25794911190402e-22
"species:Clostridium perfringens","d0_7",4.01637597319794,1.76662308466891,2.24975288852903,0.405389026922616,6.16151574206469e-12,395,432,4.69747437350148e-11
"genus:Enterobacter","d0_7",3.23452040382214,1.24375648964172,1.99076391418042,0.370965826169339,1.04672048806265e-09,395,432,5.65229063553829e-09
"species:Enterococcus faecalis","d0_7",10.0756617412522,7.57738187732155,2.49827986393066,0.525182878381266,4.30508961812848e-11,395,432,2.49080185048862e-10
"species:Escherichia coli","d0_7",3.75508503205687,9.62952047625416,-5.87443544419729,0.513816401649569,3.99760926892128e-16,395,432,4.62580501118034e-15
"species:Haemophilus haemolyticus","d0_7",1.46631880524691,0.38345702756688,1.08286177768003,0.23095734086287,1.38763260659758e-07,395,432,5.35229719687637e-07
"species:Klebsiella michiganensis","d0_7",1.94960280321368,0.778637329024092,1.17096547418958,0.30802078349161,4.04845077905946e-07,395,432,1.42575875262529e-06
"species:Klebsiella oxytoca","d0_7",2.49450642305527,1.07624742899032,1.41825899406494,0.340500944303525,5.61352853090114e-09,395,432,2.52608783890551e-08
"species:Parabacteroides distasonis","d0_7",0.100101601232744,3.73501587932123,-3.63491427808848,0.323892644864794,3.96395882047919e-11,395,432,2.4698512650678e-10
"species:Phocaeicola dorei","d0_7",0.0144445751609084,2.79843495145022,-2.78399037628931,0.294682727234988,1.18332371495856e-05,395,432,3.42318646113011e-05
"species:Phocaeicola vulgatus","d0_7",-0.0408417149922141,4.81358604089215,-4.85442775588436,0.339704097247148,1.48784963217801e-20,395,432,2.41031640412838e-19
"species:Streptococcus parasanguinis","d0_7",8.81162207065967,8.10402457462824,0.707597496031434,0.436303604433645,0.000161481463656132,395,432,0.000396363592610507
"species:Veillonella dispar","d0_7",4.76486422920374,1.8393586745038,2.92550555469994,0.380162217132757,0,395,432,0
"species:Bifidobacterium breve","d0_7",2.61176306471712,5.12761022228274,-2.51584715756562,0.466892296570675,0.000781758492726236,395,432,0.00166637994502171
"species:Collinsella aerofaciens","d0_7",0.108895104150395,2.60285877507475,-2.49396367092435,0.288190616272619,0.000107261917893365,395,432,0.00028026501126976
"species:Gemella sanguinis","d0_7",0.841247706876495,0.496908230837861,0.344339476038634,0.192369716648388,0.000122871177045125,395,432,0.000311017666895473
"species:Haemophilus parainfluenzae","d0_7",5.12971179167218,2.30835275784144,2.82135903383074,0.384816844695139,2.22044604925031e-16,395,432,2.99760216648792e-15
"species:Rothia mucilaginosa","d0_7",6.31789662835459,4.01594156660682,2.30195506174778,0.356297275694653,6.29940544172314e-13,395,432,6.37814800974468e-12
"species:Staphylococcus epidermidis","d0_7",11.9351986562118,11.0338508573762,0.901347798835644,0.382106724322463,0.00255260780566902,395,432,0.00480840075021373
"species:Staphylococcus haemolyticus","d0_7",2.20294509774555,1.78127189595749,0.421673201788058,0.337243711569816,0.00488103767949899,395,432,0.00859487069650909
"species:Staphylococcus hominis","d0_7",3.63189962227014,6.70452572152099,-3.07262609925085,0.437563749707896,2.69592915936671e-09,395,432,1.28453095240414e-08
"species:Streptococcus mitis","d0_7",6.51882333295709,5.98405480937802,0.534768523579068,0.353031062888351,0.104812646300475,395,432,0.157218969450712
"species:Streptococcus thermophilus","d0_7",1.45754783947143,1.2706233854221,0.186924454049325,0.267326848506142,0.00439137556935165,395,432,0.00808412320721554
"species:Veillonella infantium","d0_7",3.97682675924419,1.23094572860354,2.74588103064065,0.330976244718412,0,395,432,0
"species:Veillonella parvula","d0_7",5.89825659231292,1.80834109710838,4.08991549520454,0.403095501794952,0,395,432,0
