feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
species.Bifidobacterium.longum	born_method	c_section	-0.108238765565258	0.0128043888850707	524	190	2.85615484675219e-16	2.39917007127184e-14
species.Enterococcus.faecalis	born_method	c_section	0.104296378203467	0.0158434914087721	524	309	1.12740420392038e-10	4.7350976564656e-09
species.Phocaeicola.vulgatus	born_method	c_section	-0.022665781312892	0.00384030243918952	524	104	6.47216630466963e-09	1.35915492398062e-07
species.Bifidobacterium.bifidum	born_method	c_section	-0.0511887013502969	0.00864276544748837	524	85	5.75491957732556e-09	1.35915492398062e-07
species.Streptococcus.parasanguinis	born_method	c_section	0.0286393352027731	0.00554408475245131	524	345	3.41564978681061e-07	5.73829164184182e-06
species.Escherichia.coli	born_method	c_section	-0.0750512760622282	0.0148953797170034	524	219	6.47873189163126e-07	9.07022464828376e-06
species.Streptococcus.salivarius	born_method	c_section	0.0461083257350705	0.0100229007785584	524	373	5.30361164157865e-06	6.36433396989438e-05
species.Staphylococcus.epidermidis	born_method	c_section	0.0406550966390989	0.00963674817740636	524	436	2.89747784976243e-05	0.000304235174225056
species.Veillonella.infantium	born_method	c_section	0.00172743814429877	0.000431662761747702	524	121	7.19715153126157e-05	0.000671734142917747
species.Bacteroides.fragilis	born_method	c_section	-0.0207047006222816	0.00532756434746708	524	60	0.000114901543868242	0.000877429971357485
species.Veillonella.parvula	born_method	c_section	0.0153935328597373	0.00395649347999865	524	138	0.000112911155497565	0.000877429971357485
species.Rothia.mucilaginosa	born_method	c_section	0.0016148970127641	0.000423044820302501	524	289	0.000151127360139283	0.00105789152097498
species.Veillonella.dispar	born_method	c_section	0.00443605394618372	0.00120892707022108	524	135	0.000268134104231108	0.00173255882733946
species.Bifidobacterium.adolescentis	born_method	c_section	-0.0157825481801465	0.00442379902397752	524	60	0.00039344469742894	0.00236066818457364
species.Clostridium.perfringens	born_method	c_section	0.0151307776492198	0.00436134711729506	524	104	0.000565070804544652	0.00316439650545005
species.Streptococcus.mitis	born_method	c_section	0.00172615146558286	0.00050028199755791	524	340	0.000605264981438702	0.00317764115255318
species.Haemophilus.haemolyticus	born_method	c_section	0.00153509781372152	0.00045120669316986	524	60	0.000719830521413227	0.0035568096352183
species.Phocaeicola.dorei	born_method	c_section	-0.013918603998195	0.00417911379626986	524	64	0.000928292136598401	0.00433202997079254
species.Bacteroides.uniformis	born_method	c_section	-0.00667315827922849	0.00207503559720022	524	91	0.00138095740097262	0.00610528535166842
species.Collinsella.aerofaciens	born_method	c_section	-0.00623274780702709	0.00212144007936186	524	62	0.00344991115658543	0.0137996446263417
species.Bifidobacterium.breve	born_method	c_section	-0.042572872008584	0.014450744567994	524	150	0.00336242697863779	0.0137996446263417
species.Gemella.haemolysans	born_method	c_section	0.0011588955505922	0.000416214559504871	524	226	0.00555821021271243	0.0212222571758111
species.Haemophilus.parainfluenzae	born_method	c_section	0.0047254479318157	0.0017651089795693	524	184	0.00765943507555177	0.0275951196208891
species.Veillonella.atypica	born_method	c_section	0.00470429555857151	0.00176369409415176	524	65	0.00788431989168259	0.0275951196208891
species.Aeriscardovia.aeriphila	born_method	c_section	0.00105113011096239	0.000402040024934791	524	94	0.00919474297932654	0.030757247440939
species.Gemella.sanguinis	born_method	c_section	0.00104592446990391	0.000401902850802453	524	56	0.00952010039838587	0.030757247440939
genus.Enterobacter	born_method	c_section	0.0193824426099714	0.00755565298732735	524	93	0.0105877289996553	0.0329396013322608
species.Streptococcus.thermophilus	born_method	c_section	0.00121841251407044	0.000488275940018134	524	79	0.0128921110038716	0.0386763330116149
species.Veillonella.sp..T11011.6	born_method	c_section	0.0014816939848244	0.000628055493085755	524	93	0.0186835874909194	0.0541179775599045
species.Staphylococcus.lugdunensis	born_method	c_section	0.00618327898994873	0.0026993233928766	524	109	0.0223805956152264	0.0626656677226339
species.Staphylococcus.haemolyticus	born_method	c_section	0.0117412292785132	0.00537510123152347	524	109	0.0293798229397412	0.0796098428044601
species.Klebsiella.quasipneumoniae	born_method	c_section	0.00226744115425618	0.00104474667263756	524	57	0.0304331525482324	0.0798870254391102
species.Klebsiella.michiganensis	born_method	c_section	0.0104306010218172	0.00484068528294775	524	55	0.0316368267347828	0.0805301044158107
species.Parabacteroides.distasonis	born_method	c_section	-0.00995361121978839	0.00465745941667196	524	86	0.0330521473756841	0.0816582464575724
species.Streptococcus.vestibularis	born_method	c_section	0.011760483299081	0.00554923709481024	524	148	0.0345377154799027	0.0828905171517665
species.Enterococcus.faecalis	gender	male	-0.0316307719274786	0.0158351742509782	524	309	0.0462903329865513	0.10801077696862
species.Klebsiella.oxytoca	born_method	c_section	0.00936872225804388	0.0047368346845025	524	64	0.048472733315138	0.110046205364097
species.Klebsiella.pneumoniae	gender	male	-0.0133949468824991	0.00746139878844372	524	97	0.0731960711139121	0.1618018414097
species.Streptococcus.infantis	born_method	c_section	0.00380828180575538	0.00217537442906149	524	126	0.0805977444002821	0.169255263240592
species.Klebsiella.quasipneumoniae	gender	male	-0.00183524126324176	0.00104419822515798	524	57	0.0794096205516281	0.169255263240592
species.Veillonella.atypica	gender	male	0.00303361112308944	0.00176276822991498	524	65	0.0858561474151109	0.175900399582178
species.Staphylococcus.aureus	born_method	c_section	0.00176251768788919	0.00105068892165005	524	111	0.09404692827867	0.18809385655734
species.Veillonella.sp..T11011.6	gender	male	-0.00103591866888021	0.000627725790717476	524	93	0.0994898715047974	0.194352307125651
genus.Streptococcus	born_method	c_section	0.00470182933612589	0.00288522764920987	524	64	0.103785907614191	0.198136732718002
species.Klebsiella.variicola	born_method	c_section	0.00497576551010821	0.00333879590907321	524	66	0.136753816328178	0.255273790479266
species.Streptococcus.mitis	gender	male	0.000677377271318901	0.000500019370829511	524	340	0.176099651618362	0.308174390332133
species.Veillonella.dispar	gender	male	-0.00164610417614237	0.00120829243502958	524	135	0.173679499447653	0.308174390332133
species.Klebsiella.pneumoniae	born_method	c_section	0.0102203602773662	0.00746531776212235	524	97	0.171574938427729	0.308174390332133
species.Staphylococcus.hominis	gender	male	0.00230203536418519	0.00180977096447736	524	208	0.203939263672286	0.349610166295347
species.Klebsiella.variicola	gender	male	-0.00419687033988546	0.00333704318350909	524	66	0.209077657165138	0.351250464037431
species.Bifidobacterium.adolescentis	gender	male	0.00534345901281931	0.00442147671801722	524	60	0.227394135185717	0.372537879150525
species.Streptococcus.parasanguinis	gender	male	0.0066503522301302	0.00554117434422633	524	345	0.230618687093182	0.372537879150525
species.Staphylococcus.haemolyticus	gender	male	0.00607172610635448	0.00537227953244547	524	109	0.258913892002626	0.410354092985294
species.Haemophilus.parainfluenzae	gender	male	0.00174064979110384	0.00176418237257798	524	184	0.324266879139478	0.504415145328078
species.Staphylococcus.aureus	gender	male	0.00100862155983244	0.00105013735474298	524	111	0.337266096858522	0.515097311565743
species.Bifidobacterium.longum	gender	male	0.0112606583071636	0.0127976671265856	524	190	0.379319536282633	0.553020324348179
species.Bacteroides.fragilis	gender	male	-0.00466693957905303	0.00532476760322735	524	60	0.381184576173493	0.553020324348179
species.Staphylococcus.lugdunensis	gender	male	-0.00236131196763716	0.00269790636313133	524	109	0.381847366811838	0.553020324348179
species.Veillonella.infantium	gender	male	-0.000369213345991814	0.000431436157193784	524	121	0.392514268105133	0.558833873234427
genus.Streptococcus	gender	male	0.00234702939679614	0.00288371302765264	524	64	0.41607895205296	0.582510532874144
species.Streptococcus.thermophilus	gender	male	-0.000369350669725324	0.000488019615958287	524	79	0.449490410684638	0.608987008024348
species.Bifidobacterium.breve	gender	male	0.0110531244568927	0.0144431585429375	524	150	0.444448711669398	0.608987008024348
species.Bacteroides.uniformis	gender	male	0.00149896520336562	0.00207394629194265	524	91	0.470151723733014	0.626868964977352
species.Streptococcus.infantis	gender	male	0.00147972494196523	0.0021742324501933	524	126	0.496443743672471	0.651582413570119
species.Parabacteroides.distasonis	gender	male	0.0030920817484785	0.00465501444896331	524	86	0.506825771609781	0.654974843311102
species.Veillonella.parvula	gender	male	0.00246339926035705	0.00395441648953396	524	138	0.533590704348873	0.676862890138792
species.Klebsiella.oxytoca	gender	male	0.00290405515697739	0.00473434804816094	524	64	0.539878733801179	0.676862890138792
species.Phocaeicola.dorei	gender	male	0.00216483829460403	0.00417691993962645	524	64	0.604478908476588	0.735887366841063
species.Bifidobacterium.bifidum	gender	male	-0.00447970297134879	0.00863822836395375	524	85	0.604266530326733	0.735887366841063
species.Streptococcus.vestibularis	gender	male	0.00272223317191258	0.00554632398182509	524	148	0.623762155122022	0.748514586146426
species.Gemella.sanguinis	gender	male	-0.000155721424561349	0.000401691868933516	524	56	0.698423121725696	0.826303411619133
species.Aeriscardovia.aeriphila	gender	male	-0.000138123039465369	0.000401828971055281	524	94	0.731183591551225	0.853047523476429
species.Phocaeicola.vulgatus	gender	male	0.00112060902187119	0.00383828644406959	524	104	0.77043682686564	0.886530047352243
species.Collinsella.aerofaciens	gender	male	0.000431769877505429	0.00212032641372877	524	62	0.838719279777345	0.895867253859707
species.Streptococcus.salivarius	gender	male	-0.00231316130466723	0.0100176391827916	524	373	0.817476281282357	0.895867253859707
species.Staphylococcus.epidermidis	gender	male	-0.00203542284419631	0.0096316892952987	524	436	0.832715816651623	0.895867253859707
species.Rothia.mucilaginosa	gender	male	8.51280771450994e-05	0.000422822739800575	524	289	0.84051695204369	0.895867253859707
species.Klebsiella.michiganensis	gender	male	0.00117911022722467	0.00483814412946777	524	55	0.807550381285014	0.895867253859707
species.Haemophilus.haemolyticus	gender	male	-8.96268050774662e-05	0.000450969828884843	524	60	0.842541822082344	0.895867253859707
species.Gemella.haemolysans	gender	male	-6.8887351103085e-05	0.000415996064598782	524	226	0.868539005291367	0.911965955555936
species.Staphylococcus.hominis	born_method	c_section	-0.000269071615607752	0.00181072151610652	524	208	0.881927467762826	0.914591448050338
genus.Enterobacter	gender	male	0.000820321554087339	0.00755168659150526	524	93	0.913539694922264	0.935821150895978
species.Escherichia.coli	gender	male	-0.000837414490005382	0.0148875602774425	524	219	0.955164791044141	0.966672800574793
species.Clostridium.perfringens	gender	male	0.000173847895779771	0.00435905759592428	524	104	0.96820248653645	0.96820248653645
