feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
species.Bifidobacterium.longum	born_method	c_section	-0.109083293743621	0.0120476999468215	578	221	2.11384787139626e-18	8.87816105986429e-17
species.Enterococcus.faecalis	born_method	c_section	0.102941794346087	0.0151276250095378	578	348	2.54247040898602e-11	5.33918785887065e-10
species.Phocaeicola.vulgatus	born_method	c_section	-0.0250028155671454	0.00408656033505533	578	117	1.74792952172079e-09	2.44710133040911e-08
species.Bifidobacterium.bifidum	born_method	c_section	-0.0496421258045312	0.00836061091613505	578	97	5.00123695493134e-09	5.25129880267791e-08
species.Streptococcus.parasanguinis	born_method	c_section	0.0276560783706645	0.00512928439668677	578	387	1.01920974145245e-07	8.56136182820062e-07
species.Escherichia.coli	born_method	c_section	-0.0726298742857152	0.0138435634493048	578	248	2.18199304256632e-07	1.52739512979642e-06
species.Streptococcus.salivarius	born_method	c_section	0.0450112832530231	0.00940612528051784	578	421	2.17222847609726e-06	1.30333708565836e-05
species.Veillonella.parvula	born_method	c_section	0.0179790493523617	0.00408023499486206	578	162	1.25381019407889e-05	6.5825035189142e-05
species.Staphylococcus.epidermidis	born_method	c_section	0.0382038881042605	0.00895843573188011	578	485	2.34064152454306e-05	0.000105573726642947
species.Veillonella.infantium	born_method	c_section	0.00186059464740814	0.000437981212246024	578	134	2.51366015816542e-05	0.000105573726642947
species.Bacteroides.fragilis	born_method	c_section	-0.0216900629420057	0.00521087493256296	578	66	3.62967426966145e-05	0.000138587563023437
species.Bifidobacterium.adolescentis	born_method	c_section	-0.0175124056757656	0.00424585834666395	578	71	4.26129557323966e-05	0.000142399678318393
species.Veillonella.dispar	born_method	c_section	0.00495082432724482	0.00120265537925632	578	151	4.40760909080739e-05	0.000142399678318393
species.Clostridium.perfringens	born_method	c_section	0.0181638821066912	0.00452480758755876	578	117	6.75075698749884e-05	0.000202522709624965
species.Rothia.mucilaginosa	born_method	c_section	0.00153815002249779	0.00039652933756024	578	321	0.000116974111503099	0.000327527512208677
species.Bacteroides.uniformis	born_method	c_section	-0.00719913880510004	0.00205352651729074	578	100	0.00049076665128888	0.00111065738877631
species.Phocaeicola.dorei	born_method	c_section	-0.0144776015677953	0.00412450369816445	578	72	0.000482885588514985	0.00111065738877631
species.Streptococcus.mitis	born_method	c_section	0.00164223599087052	0.000465215534798265	578	373	0.000448677913070306	0.00111065738877631
species.Haemophilus.haemolyticus	born_method	c_section	0.00147153331627915	0.000420516511175558	578	62	0.000502440247303571	0.00111065738877631
species.Collinsella.aerofaciens	born_method	c_section	-0.00618449443346711	0.00195876205086443	578	72	0.00167539315386961	0.00351832562312618
species.Haemophilus.parainfluenzae	born_method	c_section	0.00497619117412804	0.00163533643550095	578	199	0.00244976022888356	0.00489952045776711
genus.Enterobacter	born_method	c_section	0.0208883856883021	0.00712862430926877	578	103	0.00352154489320164	0.00671049506965561
species.Gemella.haemolysans	born_method	c_section	0.00113755007816157	0.000390067047540788	578	254	0.00368010942924307	0.00671049506965561
species.Bifidobacterium.breve	born_method	c_section	-0.0397596174166224	0.0136948598992895	578	165	0.00383456861123178	0.00671049506965561
species.Aeriscardovia.aeriphila	born_method	c_section	0.00102032707277441	0.00037687784856134	578	104	0.00698430933926219	0.0109098698438278
species.Veillonella.atypica	born_method	c_section	0.00435952901108299	0.00160781347924318	578	70	0.0068986011263189	0.0109098698438278
species.Gemella.sanguinis	born_method	c_section	0.00101968446553625	0.00037683565527907	578	60	0.00701348775674642	0.0109098698438278
species.Streptococcus.thermophilus	born_method	c_section	0.0011748815797656	0.000453345090849835	578	93	0.00979578684064737	0.0146936802609711
species.Veillonella.sp..T11011.6	born_method	c_section	0.001488219933271	0.000580641392681963	578	103	0.0106282119046322	0.0148794966664851
species.Klebsiella.quasipneumoniae	born_method	c_section	0.00253523314129213	0.000984779164159532	578	66	0.01028950352037	0.0148794966664851
species.Klebsiella.oxytoca	born_method	c_section	0.0113009141321961	0.00472708813877042	578	72	0.017137765470455	0.0232189080567455
species.Parabacteroides.distasonis	born_method	c_section	-0.0100536928480029	0.00426745833248234	578	97	0.0188121682568061	0.024690970837058
species.Klebsiella.michiganensis	born_method	c_section	0.0102556676415968	0.00441570953407932	578	62	0.0205513695049751	0.0261562884608774
species.Staphylococcus.lugdunensis	born_method	c_section	0.00565226754233228	0.00245534077849479	578	123	0.021689304813471	0.0267926706519348
species.Staphylococcus.haemolyticus	born_method	c_section	0.0110137175327704	0.00488595991888424	578	117	0.0245613130353067	0.029473575642368
species.Klebsiella.pneumoniae	born_method	c_section	0.0132311442351285	0.00710605742245188	578	113	0.0631187688744373	0.0736385636868435
species.Streptococcus.infantis	born_method	c_section	0.00364649251084482	0.0019776495114017	578	137	0.0657181777643492	0.0745990125973694
species.Klebsiella.variicola	born_method	c_section	0.00562503630529215	0.00308181756773463	578	77	0.0684835301242464	0.0756923227689039
genus.Streptococcus	born_method	c_section	0.00446590394226203	0.00262126804116133	578	67	0.088972981711094	0.095817057227332
species.Staphylococcus.aureus	born_method	c_section	0.00171408286742817	0.0010549042357452	578	125	0.104737157195136	0.109974015054892
species.Streptococcus.vestibularis	born_method	c_section	0.00730980311352389	0.00551820533534839	578	176	0.185805810986599	0.190337660035053
species.Staphylococcus.hominis	born_method	c_section	-0.000999222715304595	0.00178948651978074	578	232	0.576798389035157	0.576798389035157
