"pathway","effect","wi_p","wi_fdr","we_p","we_fdr"
"PWY0-1296: purine ribonucleosides degradation",-0.572131166417441,4.76254403280717e-28,1.83504644759455e-25,1.24726704385789e-22,4.81445078929144e-20
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",-0.46890528256435,1.26350591100757e-25,2.4385664082446e-23,9.85832310441837e-12,1.32134645403456e-10
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",-0.453436668147899,4.30572703383472e-23,5.54003545020068e-21,7.11553344179919e-14,1.98685627033811e-12
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",-0.449206560697298,2.63512183028183e-20,2.21171272151654e-18,1.47360234185522e-16,7.40838869165823e-15
"PWY-7208: superpathway of pyrimidine nucleobases salvage",-0.441273211641854,3.20867242779741e-20,2.59895403865493e-18,1.71605919419177e-16,7.63091055365061e-15
"PWY-6609: adenine and adenosine salvage III",-0.433282379291576,2.17251201030601e-18,1.3333958425685e-16,1.08907518109525e-17,1.13775773725757e-15
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)",-0.41245560969001,7.8183046415448e-18,3.71508096408188e-16,8.8741823099298e-17,5.95224410751462e-15
"PWY66-409: superpathway of purine nucleotide salvage",-0.359922521549335,1.05178539899643e-17,4.83806779226244e-16,2.08313974588783e-08,1.44703956285456e-07
"PWY-7199: pyrimidine deoxyribonucleosides salvage",-0.385418191689739,1.16320254316309e-17,5.25689358928211e-16,1.15588426028229e-16,7.20600087520852e-15
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I",-0.390749927146113,1.425193471406e-16,5.07624548498123e-15,3.24357589152608e-12,4.77297994055466e-11
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",-0.387919404685922,2.12675405514426e-16,7.27184847717079e-15,2.05917739086365e-15,9.96607400124738e-14
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",-0.37805595215868,6.86198646116125e-16,2.0910944645897e-14,2.36400155754613e-11,3.04927284627854e-10
"PWY-2723: trehalose degradation V",0.311671066290133,3.72965547335014e-16,2.97558935163657e-14,4.60944164781818e-11,7.8530449464865e-10
"PWY-5173: superpathway of acetyl-CoA biosynthesis",-0.38049161812419,1.28679502756587e-15,3.78596492448076e-14,8.03601425482129e-11,8.52203865841373e-10
"PYRIDNUCSAL-PWY: NAD salvage pathway I",0.30624722642558,5.8113236445223e-16,4.13979559406947e-14,4.0893346001103e-11,6.99569744580514e-10
