"pathway","lfc","p","fdr"
"P124-PWY: Bifidobacterium shunt",-0.694306234716195,4.23812111336426e-28,1.63167662864524e-25
"PWY3O-355: stearate biosynthesis III (fungi)",-0.590095768705539,7.74003967900404e-23,1.48995763820828e-20
"PWY-4702: phytate degradation I",-0.730501300621426,1.64454250859897e-21,2.11049621936867e-19
"PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",-0.586839800820432,5.37857866900977e-21,5.1768819689219e-19
"PYRIDNUCSAL-PWY: NAD salvage pathway I",-0.41430151030238,1.94051471517926e-18,1.49419633068803e-16
"PWY-2723: trehalose degradation V",-0.500882358022971,4.66313647418163e-18,2.99217923759988e-16
"PWY66-367: ketogenesis",0.565716937048979,5.65200244973198e-17,3.10860134735259e-15
"GLUDEG-I-PWY: GABA shunt",-0.557008074794095,1.58564975253741e-16,7.63093943408631e-15
"PWY-7039: phosphatidate metabolism, as a signaling molecule",-0.315522224595681,2.39775173628972e-16,1.02570490941283e-14
"CODH-PWY: reductive acetyl coenzyme A pathway",0.648077168403515,3.815809387254e-16,1.46908661409279e-14
"PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",0.483727159022451,5.58606928859302e-16,1.95512425100756e-14
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",-0.510265318068349,9.48927810095605e-16,2.82022282339911e-14
"PWY0-1338: polymyxin resistance",0.48268350159608,9.52283031277621e-16,2.82022282339911e-14
"PWY0-1296: purine ribonucleosides degradation",0.544875323754301,1.3098838471811e-15,3.60218057974803e-14
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)",-0.392903388237545,1.73693895152091e-15,4.45814330890368e-14
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",-0.444072439919239,2.31924036946448e-15,5.58067213902391e-14
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II",-0.478175042385444,1.29659272225078e-14,2.7732677670364e-13
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)",-0.380124287283102,1.22772023973331e-14,2.7732677670364e-13
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation",-0.475531159649349,1.71018913730874e-14,3.46538325191508e-13
"PWY-7391: isoprene biosynthesis II (engineered)",0.62019672711607,2.30770366008227e-14,4.44232954565836e-13
"PWY-622: starch biosynthesis",-0.316253019268875,4.72857381774924e-14,8.66905199920694e-13
"PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)",0.695524407256112,5.47458985545163e-14,9.58053224704036e-13
