"category","direction_baseline","mean_clr_c_section_no","mean_clr_c_section_yes","mean_clr_vaginal_no","mean_clr_vaginal_yes","n_c_section_no","n_c_section_yes","n_vaginal_no","n_vaginal_yes","cs_effect","abx_effect","dominant"
"Amino acid / nitrogen metabolism","C-section enriched",-0.00477596367350174,-0.0093720312826573,-0.00505654257724544,-0.00923816407611092,323,43,293,108,7.33558485986607e-05,-0.00438884455401052,"Antibiotic-dominant"
"Amino acid / nitrogen metabolism","Vaginal enriched",0.0205697129668384,0.0299972419749615,0.0753257401270407,0.0533753176974411,323,43,293,108,-0.039067051441341,-0.00626144671073826,"CS-dominant"
"Aromatic compound metabolism","C-section enriched",-0.0157325129722882,-0.0114000359406266,-0.0313199992864105,-0.0221912302049731,323,43,293,108,0.0131893402892344,0.00673062305654951,"Both contribute"
"Aromatic compound metabolism","Vaginal enriched",0.175838808665754,0.294238675908811,0.819624497913119,0.576580693677686,323,43,293,108,-0.46306385350812,-0.062321968496188,"CS-dominant"
"Carbohydrate metabolism","C-section enriched",0.0170763562625542,0.0131284576024227,-0.00395372121990886,0.00604254845608016,323,43,293,108,0.0140579933144028,0.00302418550792878,"CS-dominant"
"Carbohydrate metabolism","Vaginal enriched",0.0652995343415225,0.0882586931063758,0.168808290058852,0.123336835632633,323,43,293,108,-0.0692934491217938,-0.0112561478306829,"CS-dominant"
"Cell wall / envelope","C-section enriched",-0.0092398615389643,-0.0182385816748687,-0.0119408081087782,-0.0161117779158813,323,43,293,108,0.000287071405413269,-0.00658484497150376,"Antibiotic-dominant"
"Cell wall / envelope","Vaginal enriched",0.162409256931857,0.172593550325983,0.372020995531911,0.275702854342233,323,43,293,108,-0.156360521308152,-0.0430669238977758,"CS-dominant"
"Central / fermentation","C-section enriched",0.00282838874958915,-0.00133922213850003,-0.00822750062348834,-0.00499271790884559,323,43,293,108,0.00735469257171153,-0.000466414086723214,"CS-dominant"
"Central / fermentation","Vaginal enriched",0.141444226368247,0.214933014549782,0.264090380782233,0.255530480101028,323,43,293,108,-0.0816218099826163,0.0324644437501646,"CS-dominant"
"Cofactor / vitamin / ETC","C-section enriched",-0.0282186288638575,-0.0272726837249909,-0.0314520730679242,-0.0294369207353039,323,43,293,108,0.00269884060718982,0.00148054873574346,"Both contribute"
"Cofactor / vitamin / ETC","Vaginal enriched",0.0517853338732717,0.0680633534136888,0.0948681958935898,0.093480004975747,323,43,293,108,-0.0342497567911881,0.00744491431128717,"CS-dominant"
"Iron acquisition (siderophore)","Vaginal enriched",0.077147139022203,0.155092232488016,0.174258471654136,0.184224000328404,323,43,293,108,-0.0631215502361607,0.0439553110700406,"Both contribute"
"Lipid / isoprenoid metabolism","C-section enriched",-0.000149402187669692,0.00377512371860713,-0.00996345855106831,-0.000365183381908421,323,43,293,108,0.00697718173195708,0.00676140053771836,"Both contribute"
"Lipid / isoprenoid metabolism","Vaginal enriched",0.216970856264761,0.283734039020948,0.438383456372142,0.29872468300765,323,43,293,108,-0.118201622047042,-0.0364477953041528,"CS-dominant"
"Nucleotide metabolism","C-section enriched",-0.00581404602021122,-0.0105291512368521,-0.0175935447385806,-0.0151244817608322,323,43,293,108,0.00818741462117473,-0.00112302111944621,"CS-dominant"
"Nucleotide metabolism","Vaginal enriched",0.0213844405482527,0.0415223671865288,0.117113915213979,0.0841077109781183,323,43,293,108,-0.069157409228658,-0.0064341387987924,"CS-dominant"
"Other","C-section enriched",-0.00788537119373772,-0.00454522826945486,-0.0210049318645295,-0.00870111245490715,323,43,293,108,0.00863772242812202,0.00782198116695258,"Both contribute"
"Other","Vaginal enriched",0.132945225276928,0.141168896515134,0.38935818626609,0.225409660384299,323,43,293,108,-0.170326862429163,-0.0778624273217928,"CS-dominant"
"Other specialised","C-section enriched",0.0164602522555576,0.0215749596960987,3.64145436697442e-05,0.0125002251412887,323,43,293,108,0.0127492861333489,0.00878925901908003,"Both contribute"
"Other specialised","Vaginal enriched",0.0296599783722235,0.0863735222437921,0.11395304773729,0.124329289246775,323,43,293,108,-0.061124418184025,0.0335448926905267,"Both contribute"
"Respiration / electron transport","C-section enriched",-0.0552829084980071,-0.0477889713770851,-0.0838119058105134,-0.0568176966452714,323,43,293,108,0.0187788612903464,0.017244073143082,"Both contribute"
"Sulfur metabolism","C-section enriched",0.0600601194501941,0.0610591458905704,0.0309340970978517,0.0606920780466594,323,43,293,108,0.0147465450981268,0.015378503694592,"Both contribute"
