"category","direction_baseline","gap_d0_7","gap_d91p","attenuation_pct","class"
"Amino acid / nitrogen metabolism","C-section enriched",0.000707031402609938,0.00190456407725335,-169.374750573006,"widened"
"Amino acid / nitrogen metabolism","Vaginal enriched",-0.0469153491399565,-0.00301431767657954,93.5749861573292,"attenuated"
"Aromatic compound metabolism","C-section enriched",0.0141373489633525,0.00344999497561844,75.5965918040102,"attenuated"
"Aromatic compound metabolism","Vaginal enriched",-0.555797060675203,0.0617182163346852,88.8955482672565,"closed_or_reversed"
"Carbohydrate metabolism","C-section enriched",0.0173493304747608,0.00576805146867746,66.7534636159672,"attenuated"
"Carbohydrate metabolism","Vaginal enriched",-0.085634477563455,0.0169141060654468,80.2484857189519,"closed_or_reversed"
"Cell wall / envelope","C-section enriched",0.00243775782179015,-0.000734132236798229,69.8849397493011,"attenuated"
"Cell wall / envelope","Vaginal enriched",-0.176828824020577,0.0227498198699232,87.1345523016791,"closed_or_reversed"
"Central / fermentation","C-section enriched",0.00956608592517606,0.00251758136321965,73.6822208904284,"attenuated"
"Central / fermentation","Vaginal enriched",-0.10834815305069,0.0358111215716405,66.9481015011982,"attenuated"
"Cofactor / vitamin / ETC","C-section enriched",0.00262932538014949,-0.0104836342445216,-298.719546986061,"widened"
"Cofactor / vitamin / ETC","Vaginal enriched",-0.0391906246460072,-0.00347092981532315,91.1434690141465,"attenuated"
"Iron acquisition (siderophore)","Vaginal enriched",-0.0855497352075915,0.0478347178087903,44.0854870062233,"persists"
"Lipid / isoprenoid metabolism","C-section enriched",0.00774552585162729,-0.00138174180210458,82.1607747676126,"closed_or_reversed"
"Lipid / isoprenoid metabolism","Vaginal enriched",-0.170850134321593,0.0361057136779341,78.8670264607624,"closed_or_reversed"
"Nucleotide metabolism","C-section enriched",0.0101720339428576,-0.00145163978624083,85.7291098870142,"closed_or_reversed"
"Nucleotide metabolism","Vaginal enriched",-0.0838025884170733,0.022063794873595,73.6717024016171,"closed_or_reversed"
"Other","C-section enriched",0.0103879018877116,0.000209600772534378,97.9822607606419,"attenuated"
"Other","Vaginal enriched",-0.210158159165172,0.0199131477840169,90.5246849024946,"closed_or_reversed"
"Other specialised","C-section enriched",0.0134862461040308,0.00345875412059144,74.3534702398937,"attenuated"
"Other specialised","Vaginal enriched",-0.0796635534399135,0.0240063481374989,69.8653310065991,"attenuated"
"Respiration / electron transport","C-section enriched",0.0221965803252756,0.005333012751151,75.9737190459099,"attenuated"
"Sulfur metabolism","C-section enriched",0.0220549783890098,0.0102455645258681,53.5453431640017,"attenuated"
