"pathway","readable","direction","n_methods","category"
"argornprost-pwy","ARGORNPROST-PWY: arginine, ornithine and proline interconversion","C-section enriched",4,"Amino acid / nitrogen metabolism"
"daplysinesyn-pwy","DAPLYSINESYN-PWY: L-lysine biosynthesis I","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"gludeg-i-pwy","GLUDEG-I-PWY: GABA shunt","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"orndeg-pwy","ORNDEG-PWY: superpathway of ornithine degradation","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"p4-pwy","P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy-2941","PWY-2941: L-lysine biosynthesis II","C-section enriched",4,"Amino acid / nitrogen metabolism"
"pwy-4981","PWY-4981: L-proline biosynthesis II (from arginine)","C-section enriched",4,"Amino acid / nitrogen metabolism"
"pwy-4984","PWY-4984: urea cycle","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy-5022","PWY-5022: 4-aminobutanoate degradation V","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy-5028","PWY-5028: L-histidine degradation II","C-section enriched",4,"Amino acid / nitrogen metabolism"
"pwy-5188","PWY-5188: tetrapyrrole biosynthesis I (from glutamate)","C-section enriched",4,"Amino acid / nitrogen metabolism"
"pwy-5505","PWY-5505: L-glutamate and L-glutamine biosynthesis","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy-5705","PWY-5705: allantoin degradation to glyoxylate III","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy-6629","PWY-6629: superpathway of L-tryptophan biosynthesis","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy-6936","PWY-6936: seleno-amino acid biosynthesis","C-section enriched",4,"Amino acid / nitrogen metabolism"
"pwy0-41","PWY0-41: allantoin degradation IV (anaerobic)","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy0-781","PWY0-781: aspartate superpathway","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pyridnucsyn-pwy","PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)","Vaginal enriched",4,"Amino acid / nitrogen metabolism"
"pwy-7046","PWY-7046: 4-coumarate degradation (anaerobic)","Vaginal enriched",4,"Aromatic compound metabolism"
"galact-glucurocat-pwy","GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation","Vaginal enriched",4,"Carbohydrate metabolism"
"galacturocat-pwy","GALACTUROCAT-PWY: D-galacturonate degradation I","Vaginal enriched",4,"Carbohydrate metabolism"
"glucose1pmetab-pwy","GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation","Vaginal enriched",4,"Carbohydrate metabolism"
"glucurocat-pwy","GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation","Vaginal enriched",4,"Carbohydrate metabolism"
"glycocat-pwy","GLYCOCAT-PWY: glycogen degradation I (bacterial)","Vaginal enriched",4,"Carbohydrate metabolism"
"lactosecat-pwy","LACTOSECAT-PWY: lactose and galactose degradation I","C-section enriched",4,"Carbohydrate metabolism"
"nonoxipent-pwy","NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)","C-section enriched",4,"Carbohydrate metabolism"
"p124-pwy","P124-PWY: Bifidobacterium shunt","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-2723","PWY-2723: trehalose degradation V","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-5384","PWY-5384: sucrose degradation IV (sucrose phosphorylase)","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-5659","PWY-5659: GDP-mannose biosynthesis","C-section enriched",4,"Carbohydrate metabolism"
"pwy-5941","PWY-5941: glycogen degradation II (eukaryotic)","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-621","PWY-621: sucrose degradation III (sucrose invertase)","C-section enriched",4,"Carbohydrate metabolism"
"pwy-622","PWY-622: starch biosynthesis","Vaginal enriched",4,"Carbohydrate metabolism"
