"pathway","clr_diff","p","fdr"
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",-2.5282116655526,0,0
"PWY-6731: starch degradation III",-2.04999094434706,0,0
"PWY-7046: 4-coumarate degradation (anaerobic)",-2.48001535943169,0,0
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",1.0792717634952,1.77104867680033e-26,1.70906197311232e-24
"PWY0-1296: purine ribonucleosides degradation",1.3313994989344,1.69866651624655e-25,1.31137055054234e-23
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",1.11628213627857,3.07643442484414e-22,1.9791728133164e-20
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",1.20017254329287,1.36291647592159e-19,7.51551085293907e-18
"PWY-7208: superpathway of pyrimidine nucleobases salvage",1.13724760316769,1.74399833301306e-19,8.414791956788e-18
"PWY-6609: adenine and adenosine salvage III",1.09504337367461,1.65451434792105e-17,7.09602820330584e-16
"PWY-7199: pyrimidine deoxyribonucleosides salvage",1.10333630112314,3.20206762838051e-17,1.23599810455488e-15
"PWY66-409: superpathway of purine nucleotide salvage",0.889284915158202,9.19883074578524e-17,3.22795333443009e-15
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",0.91090158448627,1.09744936665992e-16,3.53012879608942e-15
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)",0.874248260527272,1.59957550629052e-16,4.74950881098571e-15
"PWY-5173: superpathway of acetyl-CoA biosynthesis",0.875375614045072,2.1953310842162e-16,6.05284141791037e-15
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I",0.963740441200714,3.83898065180033e-16,9.87897687729951e-15
"PWY-4702: phytate degradation I",-2.54471199599149,4.44089209850063e-16,1.07136521876328e-14
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",1.00597961168261,6.25970371680622e-16,1.42132096158071e-14
"PWY-6823: molybdenum cofactor biosynthesis",-2.20857924456566,1.55431223447522e-15,3.33313623615241e-14
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis",-2.00744164530053,1.77635683940025e-15,3.60880915793946e-14
"PWY0-41: allantoin degradation IV (anaerobic)",-1.98286493505772,1.99840144432528e-15,3.85691478754779e-14
"PWY-622: starch biosynthesis",-3.13539290679378,3.77475828372553e-15,6.93836522627645e-14
"P562-PWY: myo-inositol degradation I",1.79286300372045,4.44709811624416e-15,7.80263578577384e-14
"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",0.90940120580035,4.98990167170346e-15,8.37435671859798e-14
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0.956316967728895,5.87016584157369e-15,9.44118339519768e-14
"LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis",-2.11859620749722,6.43929354282591e-15,9.9422692301232e-14
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation",-2.35517121828797,1.35447209004269e-14,2.01087010290953e-13
"PWY-6700: queuosine biosynthesis",0.961308711049898,2.25735464390766e-14,3.22718108351244e-13
"PYRIDNUCSAL-PWY: NAD salvage pathway I",-1.76765733934614,2.62012633811537e-14,3.61203130897333e-13
"PWY-5656: mannosylglycerate biosynthesis I",-2.26097799740839,3.06421554796543e-14,4.07857655694709e-13
"GLUDEG-I-PWY: GABA shunt",-2.0844339963211,5.39568389967826e-14,6.94244661758603e-13
"PWY-7237: myo-, chiro- and scillo-inositol degradation",2.06507900789842,1.23482639161633e-13,1.53755802310936e-12
"PWY-7234: inosine-5'-phosphate biosynthesis III",1.00320395149419,1.29672803681322e-13,1.56417819440594e-12
"LACTOSECAT-PWY: lactose and galactose degradation I",1.54172489845407,1.9877591981802e-13,2.22599082024187e-12
"PWY-5692: allantoin degradation to glyoxylate II",-1.52357453559161,2.01838545876853e-13,2.22599082024187e-12
"URDEGR-PWY: superpathway of allantoin degradation in plants",-1.52357453559161,2.01838545876853e-13,2.22599082024187e-12
"PWY-2723: trehalose degradation V",-1.38956083962453,2.4669155607171e-13,2.64508168454667e-12
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",0.851439123794792,3.44465780778787e-13,3.59361598325978e-12
"PWY-5659: GDP-mannose biosynthesis",0.794649197902951,3.75011934517865e-13,3.80933175589199e-12
"DENITRIFICATION-PWY: nitrate reduction I (denitrification)",1.79295748409675,4.60947030393109e-13,4.56219368542923e-12
"PWY0-42: 2-methylcitrate cycle I",-2.17998599567925,6.82343070934621e-13,6.5846106345191e-12
"PWY-6270: isoprene biosynthesis I",-2.20860510960397,8.89954776539525e-13,8.3785986279087e-12
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",1.88344863188451,9.36471328277267e-13,8.60661744559583e-12
"CODH-PWY: reductive acetyl coenzyme A pathway",2.35298452729618,1.01059672519675e-12,9.07186827734757e-12
"NONMEVIPP-PWY: methylerythritol phosphate pathway I",-2.35174806387379,1.61559654543453e-12,1.35569623160376e-11
"PWY-2941: L-lysine biosynthesis II",1.12158183038386,1.55297924427466e-12,1.35569623160376e-11
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)",1.64949938558191,1.59828937044437e-12,1.35569623160376e-11
"PWY-922: mevalonate pathway I",1.75743519918712,2.85174599694274e-12,2.34207224429766e-11
"PWY-5747: 2-methylcitrate cycle II",-2.02487443209404,3.01847435935088e-12,2.427356463978e-11
"PWY-621: sucrose degradation III (sucrose invertase)",0.901483946135187,3.29844288151272e-12,2.59836520870186e-11
"PWY-5181: toluene degradation III (aerobic) (via p-cresol)",1.47349722996907,3.54056498800000e-12,2.733316170736e-11
"PWY-7560: methylerythritol phosphate pathway II",-2.19043198759361,4.91540141922542e-12,3.72028421141375e-11
"PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",-1.59609648625774,5.18163290053053e-12,3.84636596077843e-11
"PWY3DJ-35471: L-ascorbate biosynthesis IV",1.38715212505868,5.29193420508604e-12,3.85412566634568e-11
"PWY-6185: 4-methylcatechol degradation (ortho cleavage)",1.51075354129456,6.95413644238388e-12,4.97091975325959e-11
"COLANSYN-PWY: colanic acid building blocks biosynthesis",-2.15305585960313,8.3073548040602e-12,5.83025264430407e-11
"PWY-4981: L-proline biosynthesis II (from arginine)",0.931366136445165,1.24182441411522e-11,8.55971828300845e-11
"PWY-7391: isoprene biosynthesis II (engineered)",2.23152448071131,1.45513527732025e-11,9.85407398325643e-11
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III",1.67930967322054,1.48547850550919e-11,9.88611557114738e-11
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)",0.797805263845226,1.52690178956681e-11,9.98956086055577e-11
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation",0.816550428489806,2.47299547811171e-11,1.59096042425187e-10
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",-1.42419485439331,2.6650681661522e-11,1.68642018382746e-10
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)",-1.34656774011707,2.85229617702498e-11,1.7757843940833e-10
"PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)",1.70274865171884,3.15750772426481e-11,1.93459997074003e-10
"P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)",1.88292540116483,3.6024445227246e-11,2.17272435276828e-10
"PWY-5918: superpathay of heme biosynthesis from glutamate",0.747315765236043,6.5879934598083e-11,3.91225457767077e-10
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",0.333432918552732,7.52564912139524e-11,4.33567247889338e-10
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",0.333432918552732,7.52564912139524e-11,4.33567247889338e-10
"PWY-6936: seleno-amino acid biosynthesis",0.775540011594821,1.36303236492974e-10,7.73721313033649e-10
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis",1.64788900704772,1.58445394639623e-10,8.86375685954991e-10
"PWY-5973: cis-vaccenate biosynthesis",0.604377890982565,1.74740606814474e-10,9.63569631862668e-10
