feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0.1296..purine.ribonucleosides.degradation	born_method	vaginal	-0.000227907402814566	1.81790738262607e-05	524	522	1.07248216065729e-31	8.21521335063485e-29
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I	born_method	vaginal	9.48766100816384e-05	8.17010279204991e-06	524	420	6.94419607709006e-28	2.65962709752549e-25
PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	born_method	vaginal	-0.000188834419375797	1.65331009559237e-05	524	523	4.06419645984972e-27	1.03772482941496e-24
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation	born_method	vaginal	-0.000172068196470206	1.53945915678894e-05	524	523	3.79914574656845e-26	7.27536410467858e-24
PWY.6609..adenine.and.adenosine.salvage.III	born_method	vaginal	-0.000230874094594615	2.11146151178807e-05	524	524	3.40203098579592e-25	5.21191147023934e-23
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	born_method	vaginal	-0.00016732061843454	1.54352464972218e-05	524	524	7.89658833618745e-25	1.00813111091993e-22
PWY.622..starch.biosynthesis	born_method	vaginal	0.000103330243367658	9.57398587681657e-06	524	244	1.20394373892571e-24	1.31745843431014e-22
PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I	born_method	vaginal	-0.000165369325282045	1.54804046962453e-05	524	524	3.20198603592248e-24	3.06590162939577e-22
PWY.6270..isoprene.biosynthesis.I	born_method	vaginal	9.4563960993419e-05	9.04195514541897e-06	524	350	2.29132223224262e-23	1.95016981099761e-21
PWY.7560..methylerythritol.phosphate.pathway.II	born_method	vaginal	9.22759945468142e-05	8.9004715724535e-06	524	351	5.04766541331221e-23	3.86651170659715e-21
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	born_method	vaginal	-0.00015935879860855	1.56074899757864e-05	524	522	1.95906978248272e-22	1.36422495761978e-20
PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis	born_method	vaginal	8.11143903504733e-05	8.01547782808263e-06	524	382	4.25888143195124e-22	2.71858598072887e-20
