"pathway","n_methods","category","dir"
"argornprost-pwy",4,"Other","C-section enriched"
"coa-pwy",4,"Other","C-section enriched"
"codh-pwy",4,"Other","C-section enriched"
"colansyn-pwy",4,"Other","Vaginal enriched"
"daplysinesyn-pwy",4,"Amino acid metabolism","Vaginal enriched"
"denitrification-pwy",4,"Other","C-section enriched"
"denovopurine2-pwy",4,"Nucleotide metabolism","C-section enriched"
"galact-glucurocat-pwy",4,"Other","Vaginal enriched"
"galacturocat-pwy",4,"Other","Vaginal enriched"
"glucose1pmetab-pwy",4,"Carbohydrate metabolism","Vaginal enriched"
"glucurocat-pwy",4,"Other","Vaginal enriched"
"gludeg-i-pwy",4,"Other","Vaginal enriched"
"glycocat-pwy",4,"Other","Vaginal enriched"
"golpdlcat-pwy",4,"Other","C-section enriched"
"heme-biosynthesis-ii",4,"Other","C-section enriched"
"ketogluconmet-pwy",4,"Other","Vaginal enriched"
"lactosecat-pwy",4,"Carbohydrate metabolism","C-section enriched"
"lpssyn-pwy",4,"Cell wall","Vaginal enriched"
"methglyut-pwy",4,"Other","Vaginal enriched"
"nonmevipp-pwy",4,"Other","Vaginal enriched"
"nonoxipent-pwy",4,"Other","C-section enriched"
"orndeg-pwy",4,"Other","Vaginal enriched"
"p124-pwy",4,"Other","Vaginal enriched"
"p125-pwy",4,"Other","C-section enriched"
"p164-pwy",4,"Other","C-section enriched"
"p185-pwy",4,"Other","C-section enriched"
"p4-pwy",4,"Other","Vaginal enriched"
"p42-pwy",4,"Other","C-section enriched"
"ppgppmet-pwy",4,"Other","C-section enriched"
"pwy-2723",4,"Other","Vaginal enriched"
"pwy-2941",4,"Other","C-section enriched"
"pwy-4242",4,"Other","C-section enriched"
"pwy-4361",4,"Other","C-section enriched"
"pwy-4702",4,"Other","Vaginal enriched"
"pwy-4981",4,"Other","C-section enriched"
"pwy-4984",4,"Other","Vaginal enriched"
"pwy-5005",4,"Other","C-section enriched"
"pwy-5022",4,"Other","Vaginal enriched"
"pwy-5028",4,"Other","C-section enriched"
"pwy-5121",4,"Other","Vaginal enriched"
"pwy-5138",4,"Other","C-section enriched"
"pwy-5173",4,"Other","C-section enriched"
"pwy-5188",4,"Other","C-section enriched"
"pwy-5265",4,"Other","C-section enriched"
"pwy-5367",4,"Other","C-section enriched"
"pwy-5384",4,"Other","Vaginal enriched"
"pwy-5505",4,"Other","Vaginal enriched"
"pwy-5656",4,"Other","Vaginal enriched"
"pwy-5659",4,"Other","C-section enriched"
"pwy-5695",4,"Other","C-section enriched"
"pwy-5705",4,"Other","Vaginal enriched"
"pwy-5747",4,"Other","Vaginal enriched"
"pwy-5838",4,"Other","Vaginal enriched"
"pwy-5861",4,"Other","Vaginal enriched"
"pwy-5910",4,"Other","C-section enriched"
"pwy-5941",4,"Other","Vaginal enriched"
"pwy-5994",4,"Other","Vaginal enriched"
"pwy-6113",4,"Other","Vaginal enriched"
"pwy-6123",4,"Other","C-section enriched"
"pwy-6124",4,"Other","C-section enriched"
"pwy-6125",4,"Other","C-section enriched"
"pwy-6126",4,"Other","C-section enriched"
"pwy-621",4,"Other","C-section enriched"
"pwy-622",4,"Other","Vaginal enriched"
"pwy-6270",4,"Other","Vaginal enriched"
"pwy-6317",4,"Other","C-section enriched"
"pwy-6353",4,"Other","Vaginal enriched"
"pwy-6531",4,"Other","Vaginal enriched"
"pwy-6545",4,"Other","C-section enriched"
"pwy-6588",4,"Other","Vaginal enriched"
"pwy-6595",4,"Other","C-section enriched"
"pwy-6609",4,"Other","C-section enriched"
"pwy-6629",4,"Other","Vaginal enriched"
"pwy-6700",4,"Other","C-section enriched"
"pwy-6731",4,"Other","Vaginal enriched"
"pwy-6749",4,"Other","Vaginal enriched"
"pwy-6859",4,"Other","C-section enriched"
"pwy-6936",4,"Other","C-section enriched"
"pwy-7013",4,"Other","C-section enriched"
"pwy-7046",4,"Other","Vaginal enriched"
"pwy-7184",4,"Other","C-section enriched"
"pwy-7197",4,"Other","C-section enriched"
"pwy-7199",4,"Other","C-section enriched"
"pwy-7200",4,"Other","C-section enriched"
"pwy-7204",4,"Other","Vaginal enriched"
"pwy-7208",4,"Other","C-section enriched"
"pwy-7209",4,"Other","Vaginal enriched"
"pwy-7210",4,"Other","C-section enriched"
"pwy-7211",4,"Other","C-section enriched"
"pwy-7228",4,"Other","C-section enriched"
"pwy-7234",4,"Other","C-section enriched"
"pwy-7279",4,"Other","C-section enriched"
"pwy-7323",4,"Other","Vaginal enriched"
"pwy-7328",4,"Other","Vaginal enriched"
"pwy-7383",4,"Other","C-section enriched"
"pwy-7391",4,"Other","C-section enriched"
"pwy-7392",4,"Other","Vaginal enriched"
"pwy-7456",4,"Other","Vaginal enriched"
"pwy-7560",4,"Other","Vaginal enriched"
"pwy-841",4,"Other","C-section enriched"
"pwy-922",4,"Other","C-section enriched"
"pwy0-1296",4,"Other","C-section enriched"
"pwy0-1297",4,"Other","C-section enriched"
"pwy0-1298",4,"Other","C-section enriched"
"pwy0-166",4,"Other","C-section enriched"
"pwy0-41",4,"Other","Vaginal enriched"
"pwy0-42",4,"Other","Vaginal enriched"
"pwy0-781",4,"Other","Vaginal enriched"
"pwy0-845",4,"Other","Vaginal enriched"
