"pw_id","readable","category","direction","n_methods","gap_d0_7","gap_d8_30","gap_d91p","attenuation_pct","class"
"pwy0-1586","PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)","Cell wall / envelope","C-section enriched",3,0.212896101268852,0.12245001298138,-0.0349906412085343,83.5644518617337,"closed_or_reversed"
"pwy-7111","PWY-7111: pyruvate fermentation to isobutanol (engineered)","Central / fermentation","C-section enriched",3,0.0260630654468619,-0.132948040927813,-0.0181732639924626,30.2719627147669,"persists"
"pwy-1042","PWY-1042: glycolysis IV (plant cytosol)","Carbohydrate metabolism","C-section enriched",3,0.256469789972009,0.0258359983236325,-0.0952215102977085,62.8722313422954,"attenuated"
"nonoxipent-pwy","NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)","Carbohydrate metabolism","C-section enriched",4,0.461937082566778,0.119359898761899,0.061917830073474,86.5960468621778,"attenuated"
"calvin-pwy","CALVIN-PWY: Calvin-Benson-Bassham cycle","Central / fermentation","C-section enriched",3,0.258032792170916,0.0561842852022134,-0.0146758838835854,94.3123958160076,"closed_or_reversed"
"pwy-7663","PWY-7663: gondoate biosynthesis (anaerobic)","Lipid / isoprenoid metabolism","C-section enriched",3,0.261501718931212,0.133439267638743,-0.0328975941923628,87.4197407470899,"closed_or_reversed"
"pwy-6609","PWY-6609: adenine and adenosine salvage III","Other","C-section enriched",4,0.668269682368754,0.193143090749821,-0.0280103098839881,95.8085320009278,"closed_or_reversed"
"pwy-5695","PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation","Nucleotide metabolism","C-section enriched",4,0.407718266874246,0.0560489035938703,-0.0591647435092539,85.4888170788035,"closed_or_reversed"
"pwy-7229","PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I","Nucleotide metabolism","C-section enriched",3,0.339041626718955,-0.055637244923497,-0.0629619906322003,81.4294217375284,"closed_or_reversed"
"pwy66-400","PWY66-400: glycolysis VI (metazoan)","Carbohydrate metabolism","C-section enriched",3,0.229881118081821,0.00654610331609895,-0.0367476324227816,84.0145059631639,"closed_or_reversed"
"pwy-7219","PWY-7219: adenosine ribonucleotides de novo biosynthesis","Nucleotide metabolism","C-section enriched",3,0.297803546807768,-0.145118876968537,-0.0641090746879347,78.4726960524358,"closed_or_reversed"
"branched-chain-aa-syn-pwy","BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis","Amino acid / nitrogen metabolism","C-section enriched",3,0.00907681450668951,-0.20654313603169,-0.0559044841520824,-515.904226211535,"widened"
"pwy-6126","PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II","Nucleotide metabolism","C-section enriched",4,0.400292872003544,-0.0203566522787526,-0.0736436835431964,81.6025493597737,"closed_or_reversed"
"pwy-7220","PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II","Nucleotide metabolism","C-section enriched",3,0.361525985676142,-0.0246010684928315,-0.017837851340333,95.0659559624817,"closed_or_reversed"
"pwy-7222","PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II","Nucleotide metabolism","C-section enriched",3,0.361525985676142,-0.0246010684928315,-0.017837851340333,95.0659559624817,"closed_or_reversed"
"salvadehypox-pwy","SALVADEHYPOX-PWY: adenosine nucleotides degradation II","Nucleotide metabolism","Vaginal enriched",4,-0.958053141666438,-0.824583996723152,0.137282138099939,85.6707178203966,"closed_or_reversed"
"pwy-3001","PWY-3001: superpathway of L-isoleucine biosynthesis I","Amino acid / nitrogen metabolism","C-section enriched",3,0.0548575028456582,-0.170349191228166,-0.0719298877101351,-31.1213306819856,"widened"
"trna-charging-pwy","TRNA-CHARGING-PWY: tRNA charging","Other specialised","C-section enriched",3,0.357294637651796,0.0167243885569759,-0.0554560169497136,84.4789114904773,"closed_or_reversed"
"pwy-5103","PWY-5103: L-isoleucine biosynthesis III","Amino acid / nitrogen metabolism","C-section enriched",3,0.00570982070111548,-0.19213579424242,-0.0445787295702011,-680.737818290725,"widened"
"pwyg-321","PWYG-321: mycolate biosynthesis","Cell wall / envelope","Vaginal enriched",4,-0.915331370713888,-0.164014964827622,0.0241641891535713,97.3600610744145,"closed_or_reversed"
"pwy-5667","PWY-5667: CDP-diacylglycerol biosynthesis I","Lipid / isoprenoid metabolism","C-section enriched",3,0.148773785972187,-0.0744948747821226,-0.0829859575319774,44.2200405201146,"persists"
"pwy0-1319","PWY0-1319: CDP-diacylglycerol biosynthesis II","Lipid / isoprenoid metabolism","C-section enriched",3,0.161149405137168,-0.0731345911564294,-0.0829385260293927,48.5331478829868,"persists"
"pwy-6387","PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","Cell wall / envelope","C-section enriched",3,0.219582282791327,-0.137646044701166,-0.073738626813578,66.4186810173328,"attenuated"
"pwy-6386","PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","Amino acid / nitrogen metabolism","C-section enriched",3,0.226319694024565,-0.132422606501432,-0.0745048998563203,67.0797982573123,"attenuated"
"aro-pwy","ARO-PWY: chorismate biosynthesis I","Aromatic compound metabolism","C-section enriched",3,0.286981579637321,-0.0480007724505152,-0.0898041650577972,68.7073417146532,"attenuated"
"pwy-6122","PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II","Nucleotide metabolism","C-section enriched",3,0.267578384597263,-0.111855349258838,-0.0632290777275331,76.3698858475806,"closed_or_reversed"
"pwy-6277","PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis","Nucleotide metabolism","C-section enriched",3,0.267578384597263,-0.111855349258838,-0.0632290777275331,76.3698858475806,"closed_or_reversed"
"complete-aro-pwy","COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis","Amino acid / nitrogen metabolism","C-section enriched",3,0.298347860339553,-0.0431658066127167,-0.0861135537686026,71.1365271161671,"closed_or_reversed"
"pwy-6121","PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I","Nucleotide metabolism","C-section enriched",3,0.276838521685023,-0.105446329216169,-0.0623651981062197,77.4723554631691,"closed_or_reversed"
"aspasn-pwy","ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis","Amino acid / nitrogen metabolism","C-section enriched",3,0.0168923899844702,0.0589524541275288,-0.070454306710221,-317.07719733556,"widened"
"pwy0-1296","PWY0-1296: purine ribonucleosides degradation","Nucleotide metabolism","C-section enriched",4,0.873536921337961,0.439343276380758,0.0749609677169538,91.4186835283231,"attenuated"
"pwy-6163","PWY-6163: chorismate biosynthesis from 3-dehydroquinate","Aromatic compound metabolism","C-section enriched",3,0.303108245622898,-0.047051644661718,-0.107896396043746,64.4033451409365,"attenuated"
"pwy-6936","PWY-6936: seleno-amino acid biosynthesis","Amino acid / nitrogen metabolism","C-section enriched",4,0.385130059042353,-0.135901521121173,-0.0837083245802268,78.2649204820906,"closed_or_reversed"
"pwy0-862","PWY0-862: (5Z)-dodec-5-enoate biosynthesis","Lipid / isoprenoid metabolism","C-section enriched",3,0.0955744026709624,0.146086885126615,0.0113319097083495,88.1433632942888,"attenuated"
"pwy-6700","PWY-6700: queuosine biosynthesis","Cofactor / vitamin / ETC","C-section enriched",4,0.545513835938916,-0.0164417883632455,-0.189415030904114,65.2776852894848,"attenuated"
"argsyn-pwy","ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)","Amino acid / nitrogen metabolism","C-section enriched",3,0.0153566291862406,-0.12888756420467,-0.0130273924050313,15.1676305585102,"persists"
"pwy-7400","PWY-7400: L-arginine biosynthesis IV (archaebacteria)","Amino acid / nitrogen metabolism","C-section enriched",3,0.0100834287656681,-0.1312346827244,-0.0133808367195196,-32.7012569878851,"widened"
"pwy-7228","PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I","Nucleotide metabolism","C-section enriched",4,0.602555264050154,0.0878676566942709,-0.20087596811256,66.6626482088387,"attenuated"
"pwy-6113","PWY-6113: superpathway of mycolate biosynthesis","Cell wall / envelope","Vaginal enriched",4,-0.680784872520054,-0.332411705393977,0.124761393239728,81.6738887311199,"closed_or_reversed"
"pwy-6125","PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II","Nucleotide metabolism","C-section enriched",4,0.555483583316604,0.0750487958223516,-0.180471191527874,67.5109765710192,"attenuated"
"metsyn-pwy","METSYN-PWY: L-homoserine and L-methionine biosynthesis","Amino acid / nitrogen metabolism","C-section enriched",3,-0.0328113399945982,0.0423397632967815,0.0372359121850538,-13.484887210288,"widened"
"pwy-841","PWY-841: superpathway of purine nucleotides de novo biosynthesis I","Nucleotide metabolism","C-section enriched",4,0.480270816996443,0.0237969017746227,-0.157174920018728,67.2736892485615,"attenuated"
"orndeg-pwy","ORNDEG-PWY: superpathway of ornithine degradation","Amino acid / nitrogen metabolism","Vaginal enriched",4,-0.457979626227121,0.412930189596434,0.187986182206601,58.953156114116,"attenuated"
"denovopurine2-pwy","DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II","Nucleotide metabolism","C-section enriched",4,0.397696306020987,-0.0163017951296314,-0.141868017060126,64.3275497126092,"attenuated"
"pwy-5973","PWY-5973: cis-vaccenate biosynthesis","Lipid / isoprenoid metabolism","C-section enriched",3,0.353119595080801,0.110075550661533,-0.123897124487747,64.9135516086563,"attenuated"
"pwy66-422","PWY66-422: D-galactose degradation V (Leloir pathway)","Carbohydrate metabolism","C-section enriched",3,0.188604841372961,-0.177278381385403,-0.0209836460586474,88.8742802645491,"closed_or_reversed"
"pwy4fs-7","PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)","Lipid / isoprenoid metabolism","C-section enriched",3,0.35459341540012,0.0236493798508366,0.0349077841802357,90.1555464190315,"attenuated"
"pwy4fs-8","PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)","Lipid / isoprenoid metabolism","C-section enriched",3,0.350067497939728,0.0228738297443816,0.0351216397807734,89.9671806187445,"attenuated"
"pwy0-845","PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Cofactor / vitamin / ETC","Vaginal enriched",4,-0.785941521528373,-0.309455644247861,-0.322263038833329,58.9965627205133,"attenuated"
"udpnagsyn-pwy","UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I","Cell wall / envelope","C-section enriched",3,0.339100876485905,-0.0153851682815098,0.0465235759204909,86.2803138692492,"attenuated"
"pwy-7199","PWY-7199: pyrimidine deoxyribonucleosides salvage","Nucleotide metabolism","C-section enriched",4,0.679505799941333,0.158779261966288,-0.126148655162085,81.4352349644439,"closed_or_reversed"
"panto-pwy","PANTO-PWY: phosphopantothenate biosynthesis I","Cofactor / vitamin / ETC","C-section enriched",3,0.230831735180343,-0.0230446395627288,-0.151808143034686,34.2342841567768,"persists"
"pwy-3841","PWY-3841: folate transformations II","Cofactor / vitamin / ETC","C-section enriched",3,0.304288365407071,-0.0676573927028978,-0.0814457932521746,73.2340100669909,"closed_or_reversed"
"pwy-4242","PWY-4242: pantothenate and coenzyme A biosynthesis III","Cofactor / vitamin / ETC","C-section enriched",4,0.41169298587914,-0.0182568057045032,-0.138841590108664,66.2754540711501,"attenuated"
"glycocat-pwy","GLYCOCAT-PWY: glycogen degradation I (bacterial)","Carbohydrate metabolism","Vaginal enriched",4,-1.07163118621886,-0.461094043140113,0.0658909498494378,93.8513407693997,"closed_or_reversed"
