"taxon","rf_imp","rf_rank","da_methods","clr_diff","direction","triangulated"
"escherichia_coli",16.3902280212708,1,4,-4.28664848084475,"Vaginal-enriched","Both lines support"
"bifidobacterium_longum",15.568443894108,2,4,-4.24420833572293,"Vaginal-enriched","Both lines support"
"phocaeicola_vulgatus",14.6050758207621,3,4,-3.09732102916967,"Vaginal-enriched","Both lines support"
"parabacteroides_distasonis",7.21747447387181,8,4,-2.26857285207512,"Vaginal-enriched","Both lines support"
"bacteroides_uniformis",7.19046422077593,9,4,-2.11391820310676,"Vaginal-enriched","Both lines support"
"enterococcus_faecalis",6.89136848180994,10,4,2.29288354214939,"CS-enriched","Both lines support"
"veillonella_dispar",6.80082808454407,11,4,1.95637897103199,"CS-enriched","Both lines support"
"clostridium_perfringens",5.18589311943381,13,4,1.82804911509439,"CS-enriched","Both lines support"
"streptococcus_parasanguinis",4.55658786976373,20,4,0.825215262097351,"CS-enriched","DA only"
"bifidobacterium_adolescentis",4.54543539920174,21,4,-1.75162998036301,"Vaginal-enriched","DA only"
"enterobacter",3.97974937231822,24,4,1.61653893276924,"CS-enriched","DA only"
"phocaeicola_dorei",3.32454820478488,28,4,-1.58839373421268,"Vaginal-enriched","DA only"
"haemophilus_haemolyticus",3.09599099134421,32,4,0.885375035808027,"CS-enriched","DA only"
"klebsiella_oxytoca",2.59551771056269,40,4,0.967246289291558,"CS-enriched","DA only"
"klebsiella_michiganensis",2.50020403255366,41,4,0.862230524505483,"CS-enriched","DA only"
"veillonella_parvula",12.2181157327848,4,3,2.52999217153481,"CS-enriched","Both lines support"
"veillonella_infantium",8.91568159701622,5,3,1.73427178959309,"CS-enriched","Both lines support"
"haemophilus_parainfluenzae",8.75951885513935,6,3,2.2212573693559,"CS-enriched","Both lines support"
"rothia_mucilaginosa",8.74663525175413,7,3,1.87430608039829,"CS-enriched","Both lines support"
"staphylococcus_hominis",5.06743488736404,14,3,-1.39195500636451,"Vaginal-enriched","Both lines support"
"bifidobacterium_breve",5.01981519310881,15,3,-1.6971377988685,"Vaginal-enriched","Both lines support"
"streptococcus_mitis",4.77206880977706,16,3,0.894682227769755,"CS-enriched","DA only"
"staphylococcus_epidermidis",4.67516732943573,18,3,1.07632551514692,"CS-enriched","DA only"
"staphylococcus_haemolyticus",3.20461257275796,31,3,0.807439339511228,"CS-enriched","DA only"
"gemella_sanguinis",2.76754317798489,36,3,0.356220976222426,"CS-enriched","DA only"
"streptococcus_thermophilus",2.69705261442507,37,3,0.278775338797073,"CS-enriched","DA only"
"collinsella_aerofaciens",2.4440234155261,42,3,-1.38947548290603,"Vaginal-enriched","DA only"
"bifidobacterium_bifidum",6.3759449723975,12,2,-2.01993186749094,"Vaginal-enriched","RF only"
"veillonella_sp_t11011-6",4.70110217864343,17,2,1.14611163099648,"CS-enriched","Neither"
"aeriscardovia_aeriphila",4.3930955787081,22,2,-0.371388442895168,"Vaginal-enriched","Neither"
"bacteroides_fragilis",4.10653675152129,23,2,-1.44969846893767,"Vaginal-enriched","Neither"
"staphylococcus_lugdunensis",3.21374606432441,30,2,0.246706382972213,"CS-enriched","Neither"
"veillonella_atypica",2.79142380839374,35,2,0.655607161427701,"CS-enriched","Neither"
"klebsiella_quasipneumoniae",2.63207712163258,39,2,0.394243212593705,"CS-enriched","Neither"
"streptococcus_salivarius",4.6171489720478,19,1,-0.0797730343275038,"Vaginal-enriched","Neither"
"streptococcus",3.9505612308714,25,1,-0.157283546479145,"Vaginal-enriched","Neither"
"gemella_haemolysans",3.68316753189377,26,1,0.190231519547379,"CS-enriched","Neither"
"streptococcus_vestibularis",3.62633102237252,27,1,0.730921281754676,"CS-enriched","Neither"
"streptococcus_infantis",3.26061160089398,29,1,0.651913973609615,"CS-enriched","Neither"
"klebsiella_pneumoniae",3.0260245737417,34,1,0.59450505267079,"CS-enriched","Neither"
"klebsiella_variicola",2.66298543172719,38,1,0.464377581877035,"CS-enriched","Neither"
"veillonella_sp_t11011_6",NA,NA,1,NA,NA,"Neither"
"staphylococcus_aureus",3.07457751014295,33,0,-0.174470014762143,"Vaginal-enriched","Neither"
